"Drug_name1","Drug_name2","OR","95.CI","Pvalue","ac"
"PAMIDRONATE, FENTANYL","FENTANYL",8.9,"(7.95, 9.94)","1.25e-235",2767
"ZOLEDRONATE, CELECOXIB","CELECOXIB",8.84,"(7.89, 9.89)","6.81e-237",2493
"WARFARIN, DOXORUBICIN","DOXORUBICIN",8.75,"(7.26, 10.5)","3.69e-86",825
"PAMIDRONATE, LENALIDOMIDE","LENALIDOMIDE",8.58,"(7.22, 10.17)","9.01e-96",1107
"ZOLEDRONATE, CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE",8.55,"(7.34, 9.94)","2.77e-126",1047
"DOXORUBICIN, FENTANYL","DOXORUBICIN",8.55,"(7.17, 10.17)","1.14e-95",825
"MORPHINE, PAMIDRONATE","MORPHINE",8.4,"(7.4, 9.53)","9.03e-181",2024
"ZOLEDRONATE, CLINDAMYCIN","CLINDAMYCIN",8.35,"(7.06, 9.87)","1.96e-132",682
"MELPHALAN, ACETAMINOPHEN","MELPHALAN",8.34,"(6.58, 10.56)","3.06e-62",325
"PAMIDRONATE, ESOMEPRAZOLE","ESOMEPRAZOLE",8.32,"(7.2, 9.58)","3.65e-136",4163
"LORAZEPAM, PAMIDRONATE","LORAZEPAM",8.25,"(7.33, 9.28)","1.82e-208",3224
"PREDNISOLONE, HYDROCODONE","PREDNISOLONE",8.24,"(6.98, 9.69)","5.38e-98",2184
"PAMIDRONATE, DEXAMETHASONE","DEXAMETHASONE",8.23,"(7.46, 9.06)","4.63e-304",2534
"ACETAMINOPHEN, CAPECITABINE","CAPECITABINE",8.19,"(6.83, 9.8)","1.85e-92",598
"ZOLEDRONATE, IRON","IRON",8.17,"(7.07, 9.43)","2.19e-140",1796
"ZOLEDRONATE, BEVACIZUMAB","BEVACIZUMAB",8.16,"(6.51, 10.17)","7.56e-55",525
"VENLAFAXINE, ZOLEDRONATE","VENLAFAXINE",8.14,"(7.13, 9.27)","2.29e-163",2370
"ZOLEDRONATE, ACYCLOVIR","ACYCLOVIR",8.09,"(6.88, 9.49)","3.81e-114",951
"PROCHLORPERAZINE, ZOLEDRONATE","PROCHLORPERAZINE",8,"(6.98, 9.16)","3.68e-180",1033
"TRIMETHOPRIM, ZOLEDRONATE","TRIMETHOPRIM",7.99,"(6.84, 9.3)","5.18e-118",1614
"ZOLEDRONATE, GEMCITABINE","GEMCITABINE",7.89,"(6.41, 9.67)","4.74e-68",510
"AMOXICILLIN, ZOLEDRONATE","AMOXICILLIN",7.89,"(7.01, 8.86)","1.52e-211",1746
"EPOETIN ALFA, GADOPENTETATE DIMEGLUMINE","GADOPENTETATE DIMEGLUMINE",7.78,"(6.54, 9.26)","1.25e-111",648
"OXYCODONE, CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE",7.78,"(6.5, 9.26)","1.55e-82",1047
"PAMIDRONATE, EPOETIN ALFA","EPOETIN ALFA",7.78,"(6.79, 8.9)","2.87e-163",1355
"CELECOXIB, LEVOFLOXACIN","CELECOXIB",7.77,"(6.69, 9.01)","2.41e-118",2493
"ONDANSETRON, ZOLEDRONATE","ONDANSETRON",7.77,"(6.83, 8.82)","2.21e-172",1350
"METOCLOPRAMIDE, GABAPENTIN","METOCLOPRAMIDE",7.75,"(6.81, 8.8)","2.13e-165",1439
"ZOLEDRONATE, FLUCONAZOLE","FLUCONAZOLE",7.74,"(6.65, 8.99)","3.93e-124",1154
"PAMIDRONATE, FUROSEMIDE","FUROSEMIDE",7.61,"(6.83, 8.47)","2.59e-219",6619
"MORPHINE, ZOLEDRONATE","MORPHINE",7.53,"(6.77, 8.37)","1.27e-240",2024
"PAMIDRONATE, GABAPENTIN","GABAPENTIN",7.42,"(6.67, 8.26)","1.23e-231",4852
"OXYCODONE, DOCETAXEL","DOCETAXEL",7.42,"(6.33, 8.67)","3.74e-112",848
"ZOLEDRONATE, FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE",7.41,"(6.52, 8.4)","3.55e-157",3257
"POTASSIUM, ZOLEDRONATE","POTASSIUM",7.4,"(6.49, 8.41)","2.12e-158",2065
"ACETAMINOPHEN, DOXORUBICIN","DOXORUBICIN",7.34,"(6.29, 8.54)","1.18e-117",825
"FENTANYL, LEVOFLOXACIN","FENTANYL",7.3,"(6.44, 8.26)","6.67e-158",2767
"AZITHROMYCIN, ZOLEDRONATE","ZOLEDRONATE",7.25,"(6.35, 8.27)","1.11e-153",4579
"PAMIDRONATE, LEVOFLOXACIN","LEVOFLOXACIN",7.23,"(6.34, 8.22)","3.44e-162",2880
"PAMIDRONATE, ACETAMINOPHEN","ACETAMINOPHEN",7.21,"(6.67, 7.79)","0.00e+00",10717
"ZOLEDRONATE, FENTANYL","FENTANYL",7.2,"(6.57, 7.89)","1.13e-303",2767
"THALIDOMIDE, WARFARIN","THALIDOMIDE",7.19,"(6.01, 8.57)","1.13e-86",645
"OXYCODONE, CAPECITABINE","CAPECITABINE",7.14,"(5.81, 8.73)","1.45e-60",598
"DOCETAXEL, HYDROCODONE","DOCETAXEL",7.13,"(5.98, 8.47)","3.29e-85",848
"PARICALCITOL, EPOETIN ALFA","PARICALCITOL",7.1,"(5.36, 9.47)","2.25e-47",247
"PAMIDRONATE, PROCHLORPERAZINE","PROCHLORPERAZINE",7.08,"(6.03, 8.28)","1.28e-107",1033
"NAPROXEN, FENTANYL","NAPROXEN",7,"(6.01, 8.13)","1.90e-103",2071
"ZOLEDRONATE, IBUPROFEN","IBUPROFEN",6.99,"(6.25, 7.81)","4.32e-193",3510
"ROSIGLITAZONE, ROSUVASTATIN","ROSIGLITAZONE",6.98,"(5.72, 8.46)","3.78e-59",1247
"OXYCODONE, ROFECOXIB","ROFECOXIB",6.98,"(6.16, 7.89)","4.65e-150",2529
"SALBUTAMOL, ZOLEDRONATE","SALBUTAMOL",6.94,"(6.16, 7.81)","5.19e-167",3911
"FENTANYL, LETROZOLE","FENTANYL",6.87,"(5.89, 8)","3.20e-98",2767
"ZOLEDRONATE, CITALOPRAM","CITALOPRAM",6.87,"(5.92, 7.95)","1.30e-110",2294
"PAMIDRONATE, HYDROCODONE","HYDROCODONE",6.84,"(6.18, 7.56)","4.61e-242",4590
"ZOLEDRONATE, ZOLPIDEM","ZOLPIDEM",6.84,"(6.2, 7.54)","1.78e-254",3296
"ZOLEDRONATE, CHLORHEXIDINE","CHLORHEXIDINE",6.82,"(5.42, 8.64)","2.36e-80",593
"ZOLEDRONATE, FOLIC ACID","FOLIC ACID",6.82,"(5.9, 7.85)","6.92e-112",2656
"METOCLOPRAMIDE, HYDROCODONE","METOCLOPRAMIDE",6.81,"(6, 7.71)","2.59e-154",1439
"OMEPRAZOLE, DOXORUBICIN","DOXORUBICIN",6.79,"(5.65, 8.13)","5.63e-72",825
"NAPROXEN, FENTANYL","FENTANYL",6.79,"(5.84, 7.87)","4.42e-102",2767
"METOCLOPRAMIDE, AMITRIPTYLINE","METOCLOPRAMIDE",6.77,"(5.74, 7.95)","2.70e-86",1439
"PAMIDRONATE, PANTOPRAZOLE","PANTOPRAZOLE",6.77,"(5.93, 7.7)","6.62e-138",3314
"PAMIDRONATE, DOCETAXEL","DOCETAXEL",6.77,"(5.64, 8.09)","8.75e-75",848
"DEXAMETHASONE, ESCITALOPRAM","DEXAMETHASONE",6.76,"(5.76, 7.9)","2.80e-90",2534
"CELECOXIB, DEXAMETHASONE","DEXAMETHASONE",6.73,"(5.78, 7.81)","4.20e-99",2534
"EPOETIN ALFA, LENALIDOMIDE","LENALIDOMIDE",6.72,"(5.54, 8.12)","1.54e-61",1107
"EPOETIN ALFA, HEPARIN","HEPARIN",6.67,"(5.55, 7.98)","9.81e-71",860
"MEDROXYPROGESTERONE, LEVOTHYROXINE","MEDROXYPROGESTERONE",6.66,"(5.03, 8.73)","2.76e-31",339
"OXYCODONE, PAMIDRONATE","OXYCODONE",6.66,"(6.05, 7.31)","1.26e-261",4418
"METOPROLOL, PAMIDRONATE","METOPROLOL",6.63,"(5.82, 7.54)","2.11e-137",6198
"VITAMIN D, CONJUGATED ESTROGENS","CONJUGATED ESTROGENS",6.63,"(5.64, 7.76)","3.41e-85",1917
"ZOLEDRONATE, ESCITALOPRAM","ESCITALOPRAM",6.62,"(5.71, 7.65)","2.50e-108",2158
"ZOLEDRONATE, HYDROMORPHONE","HYDROMORPHONE",6.61,"(5.68, 7.69)","1.54e-114",951
"ZOLEDRONATE, EPOETIN ALFA","EPOETIN ALFA",6.61,"(5.82, 7.5)","9.04e-161",1355
"OXYCODONE, CHLORHEXIDINE","OXYCODONE",6.58,"(5.77, 7.5)","6.48e-134",4418
"CONJUGATED ESTROGENS, ALENDRONATE","CONJUGATED ESTROGENS",6.57,"(5.8, 7.42)","2.11e-147",1917
"METHYLPHENIDATE, ACETAMINOPHEN","METHYLPHENIDATE",6.56,"(5.27, 8.11)","1.56e-51",511
"PAROXETINE, DEXAMETHASONE","DEXAMETHASONE",6.55,"(5.56, 7.69)","6.71e-84",2534
"ZOLEDRONATE, ESOMEPRAZOLE","ESOMEPRAZOLE",6.53,"(5.88, 7.24)","2.40e-203",4163
"METHYLPREDNISOLONE, GABAPENTIN","METHYLPREDNISOLONE",6.51,"(5.44, 7.77)","2.14e-71",1051
"EPOETIN ALFA, FENTANYL","FENTANYL",6.49,"(5.53, 7.58)","1.56e-88",2767
"CYCLOPHOSPHAMIDE, FENTANYL","CYCLOPHOSPHAMIDE",6.46,"(5.35, 7.77)","1.07e-62",1047
"ZOLEDRONATE, DIPHENHYDRAMINE","DIPHENHYDRAMINE",6.42,"(5.44, 7.56)","2.53e-83",1392
"LORAZEPAM, DOXORUBICIN","DOXORUBICIN",6.39,"(5.29, 7.68)","5.93e-64",825
"LORAZEPAM, CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE",6.39,"(5.3, 7.65)","2.40e-64",1047
"OMEPRAZOLE, PAMIDRONATE","OMEPRAZOLE",6.38,"(5.7, 7.14)","2.71e-171",6244
"PREDNISOLONE, GABAPENTIN","PREDNISOLONE",6.36,"(5.41, 7.45)","3.97e-82",2184
"ZOLEDRONATE, DARBEPOETIN ALFA","DARBEPOETIN ALFA",6.32,"(5.36, 7.43)","1.77e-95",730
"ESZOPICLONE, HYDROCODONE","ESZOPICLONE",6.3,"(5.09, 7.78)","2.86e-54",454
"METHYLPREDNISOLONE, OXYCODONE","METHYLPREDNISOLONE",6.29,"(5.27, 7.48)","1.43e-72",1051
"ZOLEDRONATE, LENALIDOMIDE","LENALIDOMIDE",6.29,"(5.43, 7.25)","1.15e-106",1107
"PAROXETINE, DEXAMETHASONE","PAROXETINE",6.27,"(5.33, 7.36)","4.42e-81",2819
"WARFARIN, ZOLEDRONATE","WARFARIN",6.27,"(5.72, 6.87)","1.32e-255",4188
"EPOETIN ALFA, GADOPENTETATE DIMEGLUMINE","EPOETIN ALFA",6.25,"(5.39, 7.24)","1.30e-108",1355
"SIMVASTATIN, TRIMETHOPRIM","TRIMETHOPRIM",6.23,"(5.44, 7.13)","6.70e-121",1614
"RANITIDINE, ZOLEDRONATE","RANITIDINE",6.2,"(5.41, 7.1)","1.32e-117",2172
"PAMIDRONATE, ACETAMINOPHEN","PAMIDRONATE",6.18,"(5.52, 6.92)","3.86e-234",1561
"LORAZEPAM, ZOLEDRONATE","LORAZEPAM",6.16,"(5.58, 6.8)","1.91e-226",3224
"DOXORUBICIN, FLUCONAZOLE","DOXORUBICIN",6.15,"(5.07, 7.42)","2.98e-59",825
"BEVACIZUMAB, FENTANYL","BEVACIZUMAB",6.14,"(4.69, 7.95)","1.82e-30",525
"OXYCODONE, DARBEPOETIN ALFA","DARBEPOETIN ALFA",6.11,"(5.15, 7.25)","5.33e-82",730
"OXYCODONE, CLAVULANATE","CLAVULANATE",6.11,"(5.08, 7.34)","1.03e-68",686
"DEXAMETHASONE, EPOETIN ALFA","DEXAMETHASONE",6.1,"(5.38, 6.9)","9.69e-133",2534
"ENOXAPARIN, GABAPENTIN","ENOXAPARIN",6.1,"(5.15, 7.2)","1.11e-77",938
"AMOXICILLIN, METOCLOPRAMIDE","METOCLOPRAMIDE",6.09,"(5.17, 7.14)","1.44e-79",1439
"BEVACIZUMAB, HYDROCODONE","BEVACIZUMAB",6.09,"(4.67, 7.84)","2.34e-31",525
"ZOLEDRONATE, DEXAMETHASONE","DEXAMETHASONE",6.09,"(5.59, 6.63)","2.74e-320",2534
"METOCLOPRAMIDE, POTASSIUM","METOCLOPRAMIDE",6.07,"(5.14, 7.14)","6.93e-77",1439
"AZITHROMYCIN, GABAPENTIN","AZITHROMYCIN",6.05,"(5.21, 7.01)","2.47e-104",1267
"GADODIAMIDE, GADOPENTETATE DIMEGLUMINE","GADOPENTETATE DIMEGLUMINE",6.04,"(5.06, 7.22)","1.95e-100",648
"ACETAMINOPHEN, LETROZOLE","ACETAMINOPHEN",6.03,"(5.3, 6.86)","5.64e-122",10717
"DOXORUBICIN, FUROSEMIDE","DOXORUBICIN",6.03,"(4.93, 7.33)","1.87e-53",825
"PAMIDRONATE, BORTEZOMIB","BORTEZOMIB",6.02,"(4.94, 7.3)","4.05e-58",649
"OXYCODONE, AZITHROMYCIN","AZITHROMYCIN",6.02,"(5.27, 6.86)","3.62e-134",1267
"THALIDOMIDE, ACETYLSALICYLIC ACID","THALIDOMIDE",6,"(5.01, 7.17)","4.55e-70",645
"CALCIUM, CONJUGATED ESTROGENS","CONJUGATED ESTROGENS",6,"(5.18, 6.94)","2.63e-93",1917
"ROSIGLITAZONE, HYDROCODONE","ROSIGLITAZONE",6,"(4.82, 7.39)","1.88e-43",1247
"SIMVASTATIN, CLARITHROMYCIN","SIMVASTATIN",5.98,"(5.26, 6.79)","5.18e-142",13151
"ZOLEDRONATE, LEVOFLOXACIN","ZOLEDRONATE",5.94,"(5.33, 6.6)","2.33e-187",4579
"METOCLOPRAMIDE, LEVOFLOXACIN","METOCLOPRAMIDE",5.93,"(5.07, 6.9)","2.84e-85",1439
"ACETAMINOPHEN, CHLORHEXIDINE","ACETAMINOPHEN",5.91,"(5.3, 6.58)","3.26e-169",10717
"DEXAMETHASONE, GABAPENTIN","DEXAMETHASONE",5.89,"(5.29, 6.55)","1.57e-177",2534
"ZOLEDRONATE, GABAPENTIN","GABAPENTIN",5.88,"(5.37, 6.44)","2.81e-251",4852
"PAMIDRONATE, LEVOFLOXACIN","PAMIDRONATE",5.88,"(5.12, 6.74)","1.75e-125",1561
"CELECOXIB, DEXAMETHASONE","CELECOXIB",5.86,"(5.03, 6.8)","1.08e-87",2493
"PACLITAXEL, FENTANYL","PACLITAXEL",5.85,"(4.87, 6.99)","2.30e-64",812
"OXYCODONE, EPOETIN ALFA","EPOETIN ALFA",5.81,"(5.09, 6.62)","2.49e-128",1355
"PHENYLEPHRINE, ACETAMINOPHEN","PHENYLEPHRINE",5.8,"(2.72, 14.77)","9.11e-09",158
"AMOXICILLIN, ROFECOXIB","ROFECOXIB",5.79,"(4.89, 6.83)","1.26e-68",2529
"OXYCODONE, EPOETIN ALFA","OXYCODONE",5.79,"(5.14, 6.52)","6.32e-143",4418
"ZOLEDRONATE, LEVOFLOXACIN","LEVOFLOXACIN",5.78,"(5.18, 6.46)","2.14e-176",2880
"WARFARIN, EPOETIN ALFA","WARFARIN",5.77,"(5.18, 6.43)","2.98e-165",4188
"ACETAMINOPHEN, VALDECOXIB","VALDECOXIB",5.75,"(4.74, 6.95)","2.17e-60",545
"PAMIDRONATE, PREDNISONE","PREDNISONE",5.74,"(5.12, 6.43)","4.78e-148",4984
"PANTOPRAZOLE, ZOLEDRONATE","PANTOPRAZOLE",5.73,"(5.18, 6.35)","8.93e-193",3314
"METOCLOPRAMIDE, WARFARIN","METOCLOPRAMIDE",5.72,"(4.94, 6.6)","2.20e-93",1439
"LORAZEPAM, CEPHALEXIN","LORAZEPAM",5.72,"(4.92, 6.62)","1.64e-90",3224
"SIMVASTATIN, FLUCONAZOLE","FLUCONAZOLE",5.72,"(4.87, 6.69)","1.15e-81",1154
"DARBEPOETIN ALFA, HYDROCODONE","DARBEPOETIN ALFA",5.7,"(4.75, 6.82)","1.22e-66",730
"CAPECITABINE, DEXAMETHASONE","CAPECITABINE",5.68,"(4.7, 6.84)","1.06e-59",598
"METOCLOPRAMIDE, HYDROMORPHONE","METOCLOPRAMIDE",5.68,"(4.77, 6.73)","2.74e-65",1439
"METHYLPREDNISOLONE, HYDROCODONE","METHYLPREDNISOLONE",5.68,"(4.74, 6.78)","2.16e-62",1051
"DEXAMETHASONE, IRON","DEXAMETHASONE",5.67,"(4.89, 6.56)","2.98e-88",2534
"OXYCODONE, AZITHROMYCIN","OXYCODONE",5.65,"(5.03, 6.35)","1.30e-143",4418
"AMOXICILLIN, DEXAMETHASONE","DEXAMETHASONE",5.65,"(4.95, 6.44)","3.48e-111",2534
"SILDENAFIL, ACETAMINOPHEN","SILDENAFIL",5.64,"(4.68, 6.77)","1.76e-59",649
"ROFECOXIB, GABAPENTIN","ROFECOXIB",5.64,"(4.97, 6.38)","6.81e-121",2529
"PAMIDRONATE, GABAPENTIN","PAMIDRONATE",5.64,"(4.99, 6.36)","8.40e-156",1561
"METOCLOPRAMIDE, ESCITALOPRAM","METOCLOPRAMIDE",5.63,"(4.68, 6.72)","2.57e-58",1439
"CHLORHEXIDINE, HYDROCODONE","HYDROCODONE",5.62,"(4.9, 6.43)","3.18e-108",4590
"AZITHROMYCIN, ESOMEPRAZOLE","ESOMEPRAZOLE",5.62,"(4.85, 6.49)","1.13e-88",4163
"ZOLPIDEM, CONJUGATED ESTROGENS","CONJUGATED ESTROGENS",5.6,"(4.74, 6.58)","1.38e-69",1917
"ACETAMINOPHEN, ESZOPICLONE","ESZOPICLONE",5.56,"(4.56, 6.78)","1.22e-57",454
"ACETAMINOPHEN, LETROZOLE","LETROZOLE",5.55,"(4.72, 6.52)","2.69e-89",757
"ROFECOXIB, CYCLOBENZAPRINE","ROFECOXIB",5.54,"(4.72, 6.48)","6.61e-73",2529
"ROFECOXIB, ZOLPIDEM","ROFECOXIB",5.53,"(4.79, 6.37)","8.57e-91",2529
"METRONIDAZOLE, DEXAMETHASONE","DEXAMETHASONE",5.52,"(4.71, 6.46)","3.06e-74",2534
"OXYCODONE, ZOLEDRONATE","OXYCODONE",5.52,"(5.12, 5.95)","0.00e+00",4418
"METRONIDAZOLE, ZOLEDRONATE","ZOLEDRONATE",5.51,"(4.79, 6.33)","1.01e-102",4579
"ZOLEDRONATE, BICALUTAMIDE","BICALUTAMIDE",5.51,"(4.3, 7.07)","2.33e-41",288
"PROCHLORPERAZINE, DOCETAXEL","DOCETAXEL",5.51,"(4.6, 6.56)","1.12e-63",848
"VANCOMYCIN, HYDROCODONE","VANCOMYCIN",5.5,"(4.43, 6.8)","6.13e-44",550
"MORPHINE, LEVOFLOXACIN","MORPHINE",5.47,"(4.8, 6.22)","1.69e-113",2024
"METFORMIN, ZOLEDRONATE","METFORMIN",5.47,"(4.7, 6.34)","1.13e-80",4985
"TRAMADOL, ZOLEDRONATE","TRAMADOL",5.44,"(4.72, 6.25)","8.69e-97",2510
"PAROXETINE, ZOLEDRONATE","ZOLEDRONATE",5.44,"(4.77, 6.19)","5.23e-114",4579
"CONJUGATED ESTROGENS, HYDROCODONE","CONJUGATED ESTROGENS",5.43,"(4.73, 6.22)","5.28e-97",1917
"TRASTUZUMAB, ZOLEDRONATE","TRASTUZUMAB",5.43,"(4.4, 6.67)","1.16e-51",428
"AZITHROMYCIN, ALPRAZOLAM","ALPRAZOLAM",5.4,"(4.7, 6.2)","4.36e-97",3887
"HEPARIN, HYDROCODONE","HEPARIN",5.4,"(4.5, 6.46)","4.30e-58",860
"OXYCODONE, CONJUGATED ESTROGENS","CONJUGATED ESTROGENS",5.4,"(4.58, 6.34)","2.12e-67",1917
"METOCLOPRAMIDE, DIAZEPAM","METOCLOPRAMIDE",5.4,"(4.54, 6.38)","2.52e-63",1439
"POTASSIUM, DEXAMETHASONE","DEXAMETHASONE",5.38,"(4.69, 6.16)","1.72e-98",2534
"ANASTROZOLE, FENTANYL","FENTANYL",5.36,"(4.55, 6.28)","7.02e-70",2767
"ZOLEDRONATE, ALPRAZOLAM","ALPRAZOLAM",5.35,"(4.76, 6.01)","6.14e-137",3887
"EPOETIN ALFA, HYDROCODONE","EPOETIN ALFA",5.35,"(4.67, 6.11)","2.61e-112",1355
"OXYCODONE, VANCOMYCIN","VANCOMYCIN",5.34,"(4.38, 6.5)","1.21e-51",550
"ROFECOXIB, DIAZEPAM","ROFECOXIB",5.34,"(4.44, 6.39)","3.29e-53",2529
"ACETAMINOPHEN, ZOLEDRONATE","ACETAMINOPHEN",5.34,"(5.02, 5.67)","0.00e+00",10717
"METOCLOPRAMIDE, ZOLPIDEM","METOCLOPRAMIDE",5.34,"(4.63, 6.13)","2.67e-93",1439
"ZOLEDRONATE, AMITRIPTYLINE","AMITRIPTYLINE",5.33,"(4.62, 6.15)","5.18e-94",2093
"ZOLEDRONATE, GABAPENTIN","ZOLEDRONATE",5.33,"(4.86, 5.84)","1.50e-226",4579
"LORAZEPAM, ROFECOXIB","ROFECOXIB",5.32,"(4.5, 6.27)","9.40e-64",2529
"MORPHINE, NAPROXEN","NAPROXEN",5.32,"(4.52, 6.24)","8.10e-70",2071
"CONJUGATED ESTROGENS, LANSOPRAZOLE","CONJUGATED ESTROGENS",5.32,"(4.53, 6.22)","9.55e-70",1917
"ENOXAPARIN, HYDROCODONE","ENOXAPARIN",5.31,"(4.52, 6.23)","3.07e-74",938
"POTASSIUM CHLORIDE, ZOLEDRONATE","POTASSIUM CHLORIDE",5.31,"(4.72, 5.96)","8.08e-138",2515
"ZOLEDRONATE, CEPHALEXIN","ZOLEDRONATE",5.3,"(4.64, 6.05)","2.63e-107",4579
"SIMVASTATIN, AMIODARONE","AMIODARONE",5.28,"(4.64, 6.01)","1.83e-123",1096
"AZITHROMYCIN, ALPRAZOLAM","AZITHROMYCIN",5.28,"(4.54, 6.13)","9.03e-88",1267
"ACYCLOVIR, HYDROCODONE","ACYCLOVIR",5.28,"(4.44, 6.26)","1.72e-64",951
"FLUCONAZOLE, HYDROCODONE","FLUCONAZOLE",5.28,"(4.59, 6.06)","4.74e-102",1154
"PAMIDRONATE, HYDROCODONE","PAMIDRONATE",5.28,"(4.69, 5.93)","4.77e-159",1561
"PAMIDRONATE, ZOLPIDEM","PAMIDRONATE",5.25,"(4.6, 5.99)","3.45e-119",1561
"VINORELBINE, ZOLEDRONATE","VINORELBINE",5.25,"(3.94, 6.99)","5.07e-31",217
"PREDNISOLONE, HYDROCHLOROTHIAZIDE","PREDNISOLONE",5.24,"(4.35, 6.28)","1.25e-51",2184
"CELECOXIB, CONJUGATED ESTROGENS","CONJUGATED ESTROGENS",5.22,"(4.48, 6.07)","2.88e-75",1917
"DEXAMETHASONE, HYDROCODONE","DEXAMETHASONE",5.22,"(4.72, 5.78)","1.13e-176",2534
"ZOLPIDEM, CELECOXIB","CELECOXIB",5.21,"(4.64, 5.85)","6.69e-135",2493
"DEXAMETHASONE, AMITRIPTYLINE","DEXAMETHASONE",5.21,"(4.42, 6.12)","1.16e-65",2534
"DEXAMETHASONE, IBUPROFEN","DEXAMETHASONE",5.21,"(4.54, 5.96)","5.33e-94",2534
"ACETAMINOPHEN, DOCETAXEL","DOCETAXEL",5.21,"(4.48, 6.04)","2.89e-90",848
"GADOPENTETATE DIMEGLUMINE, GADOVERSETAMIDE","GADOPENTETATE DIMEGLUMINE",5.21,"(4.4, 6.17)","2.02e-85",648
