"Drug_name1","Drug_name2","OR","95.CI","Pvalue","ac"
"PROCHLORPERAZINE, ACETAMINOPHEN, ZOLEDRONATE","PROCHLORPERAZINE, ACETAMINOPHEN",8.85,"(7.36, 10.64)","5.10e-128",610
"SULFAMETHOXAZOLE, TRIMETHOPRIM, ACYCLOVIR","SULFAMETHOXAZOLE, ACYCLOVIR",8.57,"(1.49, 342.7)","4.17e-03",137
"OXYCODONE, ZOLEDRONATE, LEVOFLOXACIN","OXYCODONE, LEVOFLOXACIN",8.32,"(6.65, 10.45)","8.89e-94",534
"ACETAMINOPHEN, ZOLEDRONATE, IBUPROFEN","ACETAMINOPHEN, IBUPROFEN",8.25,"(7.11, 9.55)","1.34e-145",1329
"MORPHINE, OXYCODONE, ZOLEDRONATE","MORPHINE, OXYCODONE",8.2,"(6.94, 9.69)","2.86e-139",723
"OXYCODONE, ZOLEDRONATE, FENTANYL","OXYCODONE, FENTANYL",8.03,"(6.88, 9.37)","1.71e-152",816
"MORPHINE, ACETAMINOPHEN, ZOLEDRONATE","MORPHINE, ACETAMINOPHEN",7.91,"(6.85, 9.13)","2.14e-161",958
"ACETAMINOPHEN, DOCETAXEL, HYDROCODONE","DOCETAXEL, HYDROCODONE",7.88,"(2.95, 29.71)","8.87e-08",206
"WARFARIN, ZOLEDRONATE, DEXAMETHASONE","WARFARIN, DEXAMETHASONE",7.75,"(6.23, 9.66)","1.04e-92",502
"ACETAMINOPHEN, ZOLEDRONATE, DEXAMETHASONE","ACETAMINOPHEN, DEXAMETHASONE",7.49,"(6.48, 8.68)","1.16e-176",947
"ZOLEDRONATE, ZOLPIDEM, DEXAMETHASONE","ZOLPIDEM, DEXAMETHASONE",7.48,"(5.86, 9.59)","2.04e-71",412
"THALIDOMIDE, ZOLEDRONATE, DEXAMETHASONE","THALIDOMIDE, DEXAMETHASONE",7.46,"(5.86, 9.56)","2.19e-71",375
"ACETAMINOPHEN, ZOLEDRONATE, FENTANYL","ACETAMINOPHEN, FENTANYL",7.46,"(6.53, 8.52)","1.77e-183",1108
"METOLAZONE, WARFARIN, FUROSEMIDE","METOLAZONE, WARFARIN",7.45,"(3.06, 23.55)","7.58e-09",129
"OMEPRAZOLE, ACETAMINOPHEN, ZOLEDRONATE","OMEPRAZOLE, ACETAMINOPHEN",7.44,"(6.59, 8.39)","2.47e-200",1615
"OMEPRAZOLE, PAMIDRONATE, ACETAMINOPHEN","OMEPRAZOLE, ACETAMINOPHEN",7.42,"(6.43, 8.54)","8.31e-140",1615
"PAMIDRONATE, ACETAMINOPHEN, WARFARIN","ACETAMINOPHEN, WARFARIN",7.38,"(6.34, 8.57)","3.71e-132",1105
"PAMIDRONATE, ACETAMINOPHEN, FUROSEMIDE","ACETAMINOPHEN, FUROSEMIDE",7.38,"(6.38, 8.51)","2.25e-135",1745
"MIRTAZAPINE, ACETAMINOPHEN, HYDROCODONE","MIRTAZAPINE, HYDROCODONE",7.28,"(2.73, 27.39)","3.23e-07",139
"AMOXICILLIN, OXYCODONE, POTASSIUM","AMOXICILLIN, POTASSIUM",7.23,"(6.01, 8.69)","1.57e-83",626
"ACETAMINOPHEN, FLUCONAZOLE, LEVOFLOXACIN","FLUCONAZOLE, LEVOFLOXACIN",7.09,"(5.33, 9.52)","1.73e-51",306
"ACETAMINOPHEN, DEXAMETHASONE, LEVOFLOXACIN","DEXAMETHASONE, LEVOFLOXACIN",7.09,"(5.35, 9.5)","9.29e-57",397
"ZOLEDRONATE, DEXAMETHASONE, DOCETAXEL","DEXAMETHASONE, DOCETAXEL",6.99,"(5.44, 9)","1.84e-57",311
"ONDANSETRON, ACETAMINOPHEN, ZOLEDRONATE","ONDANSETRON, ACETAMINOPHEN",6.98,"(5.93, 8.22)","4.80e-110",769
"ACETAMINOPHEN, ZOLEDRONATE, LEVOFLOXACIN","ACETAMINOPHEN, LEVOFLOXACIN",6.97,"(5.94, 8.17)","8.79e-128",836
"PAMIDRONATE, THALIDOMIDE, DEXAMETHASONE","THALIDOMIDE, DEXAMETHASONE",6.97,"(5.56, 8.75)","1.77e-67",375
"ZOLEDRONATE, DEXAMETHASONE, HYDROCODONE","DEXAMETHASONE, HYDROCODONE",6.96,"(5.62, 8.65)","5.09e-88",564
"WARFARIN, ZOLEDRONATE, FUROSEMIDE","WARFARIN, FUROSEMIDE",6.94,"(5.92, 8.11)","8.28e-104",1225
"GADOBENATE DIMEGLUMINE, GADOPENTETATE DIMEGLUMINE, GADOTERIDOL","GADOPENTETATE DIMEGLUMINE, GADOTERIDOL",6.93,"(2.26, 34.44)","2.83e-05",341
"PAMIDRONATE, ACETAMINOPHEN, HYDROCODONE","ACETAMINOPHEN, HYDROCODONE",6.88,"(6.2, 7.63)","4.90e-230",3899
"ACETAMINOPHEN, CYCLOPHOSPHAMIDE, DOXORUBICIN","CYCLOPHOSPHAMIDE, DOXORUBICIN",6.81,"(5.49, 8.42)","3.75e-57",437
"PAMIDRONATE, ACETAMINOPHEN, DEXAMETHASONE","ACETAMINOPHEN, DEXAMETHASONE",6.74,"(5.83, 7.8)","9.29e-139",947
"GADOBENATE DIMEGLUMINE, GADODIAMIDE, GADOTERIDOL","GADODIAMIDE, GADOTERIDOL",6.74,"(2.2, 33.57)","2.70e-05",340
"POTASSIUM CHLORIDE, ZOLEDRONATE, FUROSEMIDE","POTASSIUM CHLORIDE, FUROSEMIDE",6.7,"(5.76, 7.78)","1.47e-110",1374
"ONDANSETRON, DEXAMETHASONE, HYDROCODONE","ONDANSETRON, DEXAMETHASONE",6.67,"(5.49, 8.1)","1.41e-75",494
"LORAZEPAM, ACETAMINOPHEN, ZOLEDRONATE","LORAZEPAM, ACETAMINOPHEN",6.6,"(5.76, 7.55)","2.35e-149",1196
"AMOXICILLIN, ACETAMINOPHEN, ZOLEDRONATE","AMOXICILLIN, ACETAMINOPHEN",6.59,"(5.59, 7.77)","2.53e-107",726
"OMEPRAZOLE, OXYCODONE, ZOLEDRONATE","OMEPRAZOLE, OXYCODONE",6.54,"(5.58, 7.67)","1.59e-120",787
"AMOXICILLIN, POTASSIUM, HYDROCODONE","AMOXICILLIN, POTASSIUM",6.47,"(5.36, 7.8)","1.86e-71",626
"OXYCODONE, PANTOPRAZOLE, ZOLEDRONATE","OXYCODONE, PANTOPRAZOLE",6.46,"(5.36, 7.79)","1.72e-89",576
"ROFECOXIB, ACETAMINOPHEN, CELECOXIB","ROFECOXIB, CELECOXIB",6.45,"(5.05, 8.25)","3.64e-51",299
"PAMIDRONATE, ACETAMINOPHEN, GABAPENTIN","ACETAMINOPHEN, GABAPENTIN",6.38,"(5.55, 7.33)","1.10e-133",1689
"ZOLEDRONATE, ACETYLSALICYLIC ACID, DEXAMETHASONE","ACETYLSALICYLIC ACID, DEXAMETHASONE",6.25,"(5.16, 7.58)","1.57e-78",494
"ZOLEDRONATE, FENTANYL, HYDROCODONE","FENTANYL, HYDROCODONE",6.24,"(5.29, 7.35)","1.74e-106",737
"PAMIDRONATE, ACETAMINOPHEN, FENTANYL","ACETAMINOPHEN, FENTANYL",6.2,"(5.34, 7.19)","2.34e-111",1108
"OXYCODONE, PANTOPRAZOLE, DEXAMETHASONE","PANTOPRAZOLE, DEXAMETHASONE",6.19,"(4.88, 7.87)","4.07e-55",344
"ACETAMINOPHEN, ZOLEDRONATE, CELECOXIB","ACETAMINOPHEN, CELECOXIB",6.18,"(5.27, 7.24)","2.33e-105",868
"ACETAMINOPHEN, CHLORHEXIDINE, HYDROCODONE","ACETAMINOPHEN, HYDROCODONE",6.15,"(5.35, 7.06)","1.47e-114",3899
"AMOXICILLIN, OXYCODONE, CLAVULANATE","AMOXICILLIN, CLAVULANATE",6.12,"(5.08, 7.34)","9.37e-69",686
"PREDNISONE, ZOLEDRONATE, DEXAMETHASONE","PREDNISONE, DEXAMETHASONE",6.1,"(4.81, 7.78)","3.52e-58",379
"VINCRISTINE, DEXAMETHASONE, DOXORUBICIN","VINCRISTINE, DOXORUBICIN",6.09,"(4.79, 7.76)","5.82e-50",298
"OXYCODONE, DEXAMETHASONE, FUROSEMIDE","DEXAMETHASONE, FUROSEMIDE",6.08,"(4.99, 7.42)","3.39e-75",487
"FENTANYL, FUROSEMIDE, HYDROCODONE","FENTANYL, FUROSEMIDE",6.05,"(4.96, 7.37)","2.69e-71",479
"MORPHINE, OXYCODONE, DEXAMETHASONE","MORPHINE, DEXAMETHASONE",6.05,"(4.87, 7.52)","3.63e-66",434
"OXYCODONE, PAMIDRONATE, DEXAMETHASONE","OXYCODONE, DEXAMETHASONE",6.02,"(5.1, 7.11)","4.68e-100",730
"ACETAMINOPHEN, ZOLEDRONATE, FUROSEMIDE","ACETAMINOPHEN, FUROSEMIDE",5.99,"(5.29, 6.77)","6.78e-150",1745
"THALIDOMIDE, DEXAMETHASONE, DOXORUBICIN","THALIDOMIDE, DOXORUBICIN",5.96,"(2.43, 18.89)","1.09e-06",116
"ACETAMINOPHEN, CODEINE, HYDROCODONE","CODEINE, HYDROCODONE",5.95,"(1.94, 29.68)","1.63e-04",143
"PANTOPRAZOLE, ACETAMINOPHEN, ZOLEDRONATE","PANTOPRAZOLE, ACETAMINOPHEN",5.94,"(5.14, 6.87)","6.22e-114",1077
"OMEPRAZOLE, ACETAMINOPHEN, LEVOFLOXACIN","OMEPRAZOLE, LEVOFLOXACIN",5.91,"(4.56, 7.71)","2.95e-53",429
"OXYCODONE, ZOLEDRONATE, FUROSEMIDE","OXYCODONE, FUROSEMIDE",5.85,"(5.04, 6.79)","5.79e-117",939
"ACETAMINOPHEN, ZOLEDRONATE, ZOLPIDEM","ACETAMINOPHEN, ZOLPIDEM",5.83,"(5.1, 6.66)","2.35e-133",1260
"ACETAMINOPHEN, WARFARIN, ENOXAPARIN","WARFARIN, ENOXAPARIN",5.82,"(4.52, 7.54)","6.13e-48",313
"LORAZEPAM, PROCHLORPERAZINE, ACETAMINOPHEN","LORAZEPAM, PROCHLORPERAZINE",5.82,"(4.31, 7.96)","3.90e-40",305
"MORPHINE, ZOLEDRONATE, HYDROCODONE","MORPHINE, HYDROCODONE",5.81,"(4.81, 7.02)","8.87e-76",562
"PROCHLORPERAZINE, ACETAMINOPHEN, DIPHENHYDRAMINE","PROCHLORPERAZINE, DIPHENHYDRAMINE",5.81,"(3.23, 11.33)","9.82e-13",130
"ACETAMINOPHEN, ZOLEDRONATE, GABAPENTIN","ACETAMINOPHEN, GABAPENTIN",5.8,"(5.12, 6.56)","1.85e-153",1689
"LORAZEPAM, OXYCODONE, ZOLEDRONATE","LORAZEPAM, OXYCODONE",5.78,"(4.92, 6.77)","2.25e-102",791
"OXYCODONE, ZOLEDRONATE, GABAPENTIN","OXYCODONE, GABAPENTIN",5.76,"(5.02, 6.61)","7.93e-133",1171
"ONDANSETRON, ACETAMINOPHEN, LEVOFLOXACIN","ONDANSETRON, LEVOFLOXACIN",5.75,"(3.8, 8.98)","3.67e-23",234
"POTASSIUM CHLORIDE, ACETAMINOPHEN, ZOLEDRONATE","POTASSIUM CHLORIDE, ACETAMINOPHEN",5.74,"(4.87, 6.76)","8.07e-86",856
"PAMIDRONATE, PREDNISONE, ACETAMINOPHEN","PREDNISONE, ACETAMINOPHEN",5.74,"(4.92, 6.68)","4.35e-93",1285
"OXYCODONE, ZOLEDRONATE, ZOLPIDEM","OXYCODONE, ZOLPIDEM",5.73,"(4.9, 6.69)","3.74e-105",851
"MORPHINE, FUROSEMIDE, GABAPENTIN","MORPHINE, FUROSEMIDE",5.71,"(4.68, 6.95)","2.96e-65",490
"ZOLEDRONATE, ZOLPIDEM, HYDROCODONE","ZOLPIDEM, HYDROCODONE",5.68,"(4.82, 6.69)","3.04e-91",793
"OXYCODONE, FENTANYL, HYDROCODONE","OXYCODONE, FENTANYL",5.65,"(4.85, 6.58)","3.25e-104",816
"OXYCODONE, ACETAMINOPHEN, ZOLEDRONATE","OXYCODONE, ACETAMINOPHEN",5.64,"(5.14, 6.18)","2.01e-263",2658
"OMEPRAZOLE, OXYCODONE, DEXAMETHASONE","OMEPRAZOLE, DEXAMETHASONE",5.64,"(4.67, 6.8)","8.92e-76",539
"OXYCODONE, PAMIDRONATE, ACETAMINOPHEN","OXYCODONE, ACETAMINOPHEN",5.63,"(5.04, 6.28)","1.31e-175",2658
"ACETAMINOPHEN, CLONIDINE, HYDROCODONE","CLONIDINE, HYDROCODONE",5.54,"(2.59, 14.14)","4.64e-08",205
"ACETAMINOPHEN, WARFARIN, ZOLEDRONATE","ACETAMINOPHEN, WARFARIN",5.53,"(4.81, 6.35)","1.44e-116",1105
"OMEPRAZOLE, ACETAMINOPHEN, ESOMEPRAZOLE","OMEPRAZOLE, ESOMEPRAZOLE",5.5,"(4.51, 6.72)","1.82e-66",477
"ACETAMINOPHEN, CIPROFLOXACIN, HYDROCODONE","CIPROFLOXACIN, HYDROCODONE",5.48,"(3.23, 10)","2.80e-15",439
"SULFAMETHOXAZOLE, TRIMETHOPRIM, CIPROFLOXACIN","TRIMETHOPRIM, CIPROFLOXACIN",5.45,"(3.18, 10.03)","3.41e-14",177
"METOCLOPRAMIDE, PREDNISONE, ACETAMINOPHEN","METOCLOPRAMIDE, PREDNISONE",5.38,"(3.71, 7.97)","5.38e-24",190
"ZOLEDRONATE, BORTEZOMIB, DEXAMETHASONE","BORTEZOMIB, DEXAMETHASONE",5.36,"(4.3, 6.68)","5.42e-48",364
"ACETAMINOPHEN, DEXAMETHASONE, DOCETAXEL","DEXAMETHASONE, DOCETAXEL",5.36,"(4.2, 6.84)","2.42e-43",311
"ONDANSETRON, DEXAMETHASONE, FUROSEMIDE","ONDANSETRON, DEXAMETHASONE",5.35,"(4.38, 6.53)","3.41e-55",494
"ZOLEDRONATE, FUROSEMIDE, HYDROCODONE","FUROSEMIDE, HYDROCODONE",5.35,"(4.57, 6.26)","3.83e-90",942
"OXYCODONE, DEXAMETHASONE, FENTANYL","DEXAMETHASONE, FENTANYL",5.34,"(4.28, 6.68)","1.98e-56",425
"ACETAMINOPHEN, FUROSEMIDE, LEVOFLOXACIN","FUROSEMIDE, LEVOFLOXACIN",5.3,"(4.25, 6.65)","9.39e-59",459
"ACETAMINOPHEN, ZOLEDRONATE, ESOMEPRAZOLE","ACETAMINOPHEN, ESOMEPRAZOLE",5.26,"(4.51, 6.11)","2.35e-89",1074
"AMOXICILLIN, ACETAMINOPHEN, HYDROCODONE","AMOXICILLIN, HYDROCODONE",5.24,"(3.09, 9.55)","1.35e-14",384
"OXYCODONE, PROPOXYPHENE, ACETAMINOPHEN","OXYCODONE, PROPOXYPHENE",5.22,"(2.12, 16.64)","1.80e-05",227
"MORPHINE, OXYCODONE, PREDNISONE","MORPHINE, PREDNISONE",5.2,"(4.04, 6.72)","5.02e-42",320
"OMEPRAZOLE, OXYCODONE, PROCHLORPERAZINE","OMEPRAZOLE, PROCHLORPERAZINE",5.19,"(3.91, 6.93)","1.54e-35",278
"OXYCODONE, WARFARIN, ZOLEDRONATE","OXYCODONE, WARFARIN",5.18,"(4.33, 6.2)","2.80e-74",615
"MORPHINE, FENTANYL, HYDROCODONE","MORPHINE, FENTANYL",5.18,"(4.3, 6.23)","3.89e-65",558
"ZOLEDRONATE, DEXAMETHASONE, GABAPENTIN","ZOLEDRONATE, DEXAMETHASONE",5.17,"(4.44, 6.03)","2.88e-95",979
"OXYCODONE, SULFAMETHOXAZOLE, ACETAMINOPHEN","SULFAMETHOXAZOLE, ACETAMINOPHEN",5.17,"(4.13, 6.47)","6.81e-51",389
"ACETAMINOPHEN, DIAZEPAM, ALPRAZOLAM","DIAZEPAM, ALPRAZOLAM",5.16,"(4.03, 6.64)","3.54e-45",377
"PANTOPRAZOLE, SALMETEROL, FLUTICASONE PROPIONATE","PANTOPRAZOLE, SALMETEROL",5.15,"(2.3, 14.33)","8.72e-07",189
"ACETAMINOPHEN, ZOLPIDEM, ESCITALOPRAM","ZOLPIDEM, ESCITALOPRAM",5.12,"(4.08, 6.44)","1.17e-51",416
"AMOXICILLIN, POTASSIUM, LEVOFLOXACIN","AMOXICILLIN, POTASSIUM",5.1,"(4.21, 6.16)","2.26e-53",626
"PROPOXYPHENE, ACETAMINOPHEN, HYDROCODONE","PROPOXYPHENE, HYDROCODONE",5.1,"(1.65, 25.5)","1.15e-03",280
"LORAZEPAM, ONDANSETRON, HYDROCODONE","LORAZEPAM, ONDANSETRON",5.09,"(4.04, 6.41)","3.24e-44",347
"ACETAMINOPHEN, ZOLEDRONATE, HYDROCODONE","ACETAMINOPHEN, HYDROCODONE",5.08,"(4.66, 5.54)","5.65e-242",3899
"AMOXICILLIN, CLAVULANATE, HYDROCODONE","AMOXICILLIN, CLAVULANATE",5.08,"(4.19, 6.13)","2.88e-52",686
"OXYCODONE, POTASSIUM CHLORIDE, GABAPENTIN","POTASSIUM CHLORIDE, GABAPENTIN",5.05,"(4.13, 6.18)","1.23e-58",491
"SULFAMETHOXAZOLE, TRIMETHOPRIM, ZOLPIDEM","TRIMETHOPRIM, ZOLPIDEM",5.05,"(2.08, 15.97)","1.59e-05",143
"METRONIDAZOLE, ACETAMINOPHEN, HYDROCODONE","METRONIDAZOLE, ACETAMINOPHEN",5.05,"(4.06, 6.29)","4.65e-54",432
"PAMIDRONATE, ACETAMINOPHEN, ZOLEDRONATE","PAMIDRONATE, ZOLEDRONATE",5.03,"(4.41, 5.74)","1.34e-138",1200
"OXYCODONE, DEXAMETHASONE, GABAPENTIN","OXYCODONE, DEXAMETHASONE",5.01,"(4.24, 5.91)","4.57e-80",730
"METOCLOPRAMIDE, ACETAMINOPHEN, DEXAMETHASONE","METOCLOPRAMIDE, DEXAMETHASONE",5.01,"(3.79, 6.66)","2.90e-34",264
"ACETAMINOPHEN, ZOLEDRONATE, CIPROFLOXACIN","ACETAMINOPHEN, CIPROFLOXACIN",5.01,"(4.2, 5.96)","9.28e-70",671
"OMEPRAZOLE, ACETAMINOPHEN, LEVOFLOXACIN","OMEPRAZOLE, ACETAMINOPHEN",4.99,"(4.35, 5.72)","6.56e-99",1615
"MORPHINE, OXYCODONE, GABAPENTIN","MORPHINE, OXYCODONE",4.99,"(4.24, 5.87)","5.00e-83",723
"OXYCODONE, ACETAMINOPHEN, CODEINE","OXYCODONE, CODEINE",4.98,"(2.03, 15.82)","2.50e-05",110
"ONDANSETRON, PANTOPRAZOLE, FUROSEMIDE","ONDANSETRON, PANTOPRAZOLE",4.98,"(3.88, 6.41)","1.06e-38",302
"ACETAMINOPHEN, AZITHROMYCIN, HYDROCODONE","AZITHROMYCIN, HYDROCODONE",4.96,"(2.95, 8.9)","1.27e-13",435
"OXYCODONE, SULFAMETHOXAZOLE, ACETAMINOPHEN","OXYCODONE, SULFAMETHOXAZOLE",4.94,"(3.39, 7.39)","2.02e-22",277
"ACETAMINOPHEN, DEXAMETHASONE, GABAPENTIN","ACETAMINOPHEN, DEXAMETHASONE",4.93,"(4.24, 5.71)","3.69e-90",947
"OXYCODONE, ACETAMINOPHEN, TRIMETHOPRIM","OXYCODONE, TRIMETHOPRIM",4.92,"(3.4, 7.32)","5.36e-23",279
"OXYCODONE, ACETAMINOPHEN, EPOETIN ALFA","OXYCODONE, ACETAMINOPHEN",4.92,"(4.27, 5.67)","4.77e-89",2658
"MORPHINE, ACETAMINOPHEN, LEVOFLOXACIN","MORPHINE, ACETAMINOPHEN",4.92,"(4.2, 5.77)","3.68e-75",958
"MORPHINE, OXYCODONE, FENTANYL","MORPHINE, FENTANYL",4.91,"(4.09, 5.89)","5.14e-68",558
"OXYCODONE, ACETAMINOPHEN, FLUCONAZOLE","OXYCODONE, FLUCONAZOLE",4.89,"(3.41, 7.18)","4.13e-24",310
"TAMSULOSIN, ACETAMINOPHEN, HYDROCODONE","TAMSULOSIN, HYDROCODONE",4.88,"(2.36, 11.67)","2.76e-07",135
"OXYCODONE, PROCHLORPERAZINE, DEXAMETHASONE","PROCHLORPERAZINE, DEXAMETHASONE",4.87,"(3.88, 6.15)","3.64e-48",401
"ACETAMINOPHEN, DEXAMETHASONE, FLUCONAZOLE","DEXAMETHASONE, FLUCONAZOLE",4.82,"(3.67, 6.38)","9.94e-35",296
"OXYCODONE, SENNA, ACETAMINOPHEN","OXYCODONE, SENNA",4.82,"(3.19, 7.53)","2.11e-18",210
"ACETAMINOPHEN, CARVEDILOL, DIGOXIN","CARVEDILOL, DIGOXIN",4.8,"(3.86, 5.96)","4.52e-45",389
"ACETAMINOPHEN, WARFARIN, LEVOFLOXACIN","WARFARIN, LEVOFLOXACIN",4.79,"(3.62, 6.39)","4.19e-34",328
"OXYCODONE, PROCHLORPERAZINE, ACETAMINOPHEN","OXYCODONE, PROCHLORPERAZINE",4.79,"(3.75, 6.15)","8.05e-47",483
"PREDNISONE, ACETAMINOPHEN, ZOLEDRONATE","PREDNISONE, ACETAMINOPHEN",4.76,"(4.17, 5.44)","3.84e-102",1285
"ACETAMINOPHEN, DEXAMETHASONE, LEVOFLOXACIN","ACETAMINOPHEN, DEXAMETHASONE",4.76,"(4.08, 5.54)","2.70e-81",947
"ONDANSETRON, PROCHLORPERAZINE, ACETAMINOPHEN","ONDANSETRON, PROCHLORPERAZINE",4.75,"(3.45, 6.63)","1.71e-26",229
"POTASSIUM, ACETAMINOPHEN, WARFARIN","POTASSIUM, WARFARIN",4.74,"(3.82, 5.88)","4.82e-46",402
"POTASSIUM, CLAVULANATE, LEVOFLOXACIN","POTASSIUM, CLAVULANATE",4.73,"(3.86, 5.78)","1.40e-43",581
"ACETAMINOPHEN, TRIAMCINOLONE, HYDROCODONE","TRIAMCINOLONE, HYDROCODONE",4.72,"(2.45, 10.18)","2.20e-08",273
"ACETAMINOPHEN, ZOLEDRONATE, ALPRAZOLAM","ACETAMINOPHEN, ALPRAZOLAM",4.69,"(4.02, 5.46)","2.52e-75",1323
"ONDANSETRON, ACETAMINOPHEN, FLUCONAZOLE","ONDANSETRON, FLUCONAZOLE",4.69,"(3.13, 7.19)","1.34e-17",173
"OMEPRAZOLE, ACETAMINOPHEN, FLUCONAZOLE","OMEPRAZOLE, FLUCONAZOLE",4.69,"(3.51, 6.3)","7.49e-30",255
"METOPROLOL, ACETAMINOPHEN, ZOLEDRONATE","METOPROLOL, ACETAMINOPHEN",4.65,"(3.98, 5.42)","1.92e-73",1192
"SULFAMETHOXAZOLE, TRIMETHOPRIM, GABAPENTIN","SULFAMETHOXAZOLE, GABAPENTIN",4.63,"(1.5, 23.13)","2.92e-03",194
"MORPHINE, ACETAMINOPHEN, DEXAMETHASONE","MORPHINE, DEXAMETHASONE",4.61,"(3.66, 5.84)","5.77e-46",434
"MORPHINE, OXYCODONE, FUROSEMIDE","MORPHINE, FUROSEMIDE",4.59,"(3.78, 5.58)","8.71e-55",490
"OXYCODONE, DEXAMETHASONE, HYDROCODONE","OXYCODONE, DEXAMETHASONE",4.58,"(3.88, 5.41)","2.47e-71",730
"SIMVASTATIN, SULFAMETHOXAZOLE, TRIMETHOPRIM","SULFAMETHOXAZOLE, TRIMETHOPRIM",4.58,"(3.81, 5.48)","6.40e-48",1145
"ACETAMINOPHEN, FLUOXETINE, GABAPENTIN","FLUOXETINE, GABAPENTIN",4.58,"(3.57, 5.88)","4.88e-38",346
"WARFARIN, DEXAMETHASONE, FUROSEMIDE","WARFARIN, FUROSEMIDE",4.57,"(3.85, 5.41)","4.51e-56",1225
"ZOLEDRONATE, ACETYLSALICYLIC ACID, FUROSEMIDE","ACETYLSALICYLIC ACID, FUROSEMIDE",4.57,"(3.91, 5.33)","3.78e-66",2345
"OMEPRAZOLE, OXYCODONE, ZOLPIDEM","OMEPRAZOLE, ZOLPIDEM",4.57,"(3.81, 5.47)","1.51e-60",577
"MORPHINE, OMEPRAZOLE, OXYCODONE","MORPHINE, OMEPRAZOLE",4.55,"(3.65, 5.67)","1.27e-43",385
"ACETAMINOPHEN, CIPROFLOXACIN, LEVOFLOXACIN","ACETAMINOPHEN, CIPROFLOXACIN",4.54,"(3.82, 5.4)","1.54e-63",671
"ONDANSETRON, ACETAMINOPHEN, DEXAMETHASONE","ONDANSETRON, DEXAMETHASONE",4.54,"(3.73, 5.53)","3.29e-57",494
"ACETAMINOPHEN, DEXAMETHASONE, FENTANYL","DEXAMETHASONE, FENTANYL",4.52,"(3.59, 5.73)","2.49e-44",425
"ONDANSETRON, ACETAMINOPHEN, GABAPENTIN","ONDANSETRON, ACETAMINOPHEN",4.52,"(3.8, 5.36)","4.02e-59",769
"OXYCODONE, DEXAMETHASONE, GABAPENTIN","DEXAMETHASONE, GABAPENTIN",4.51,"(3.64, 5.6)","1.22e-49",501
"AMOXICILLIN, PANTOPRAZOLE, CLAVULANATE","AMOXICILLIN, CLAVULANATE",4.51,"(3.7, 5.47)","2.11e-43",686
