"Drug_name","OR","95.CI","Pvalue","ac"
"ZOLEDRONATE, AMITRIPTYLINE",9.56,"(8.35, 10.92)","4.52e-161",136860
"CELECOXIB, LEVOFLOXACIN",9.52,"(8.24, 10.96)","2.82e-142",136860
"OXYCODONE, EPOETIN ALFA",9.49,"(8.46, 10.63)","4.67e-220",136860
"AMOXICILLIN, ZOLEDRONATE",9.47,"(8.55, 10.49)","1.62e-273",136860
"ZOLEDRONATE, CIPROFLOXACIN",9.45,"(8.4, 10.63)","4.58e-205",136860
"PROCHLORPERAZINE, ZOLEDRONATE",9.41,"(8.47, 10.44)","6.76e-257",136860
"ACETAMINOPHEN, LETROZOLE",9.4,"(8.27, 10.68)","5.62e-175",136860
"ZOLEDRONATE, FLUTICASONE PROPIONATE",9.35,"(8.28, 10.54)","1.20e-194",136860
"ATORVASTATIN, SIMVASTATIN",9.28,"(8.66, 9.92)","0.00e+00",136860
"ZOLEDRONATE, ESCITALOPRAM",9.25,"(8.05, 10.62)","2.67e-147",136860
"OXYCODONE, AZITHROMYCIN",9.25,"(8.26, 10.34)","2.19e-222",136860
"PAMIDRONATE, FENTANYL",9.25,"(8.33, 10.25)","8.13e-258",136860
"GABAPENTIN, LEVOFLOXACIN",9.16,"(8.2, 10.22)","2.00e-227",136860
"ACETAMINOPHEN, CHLORHEXIDINE",9.12,"(8.19, 10.14)","1.53e-243",136860
"AZITHROMYCIN, ALPRAZOLAM",9.1,"(7.95, 10.4)","1.18e-153",136860
"LORAZEPAM, CEPHALEXIN",9.09,"(7.87, 10.48)","1.01e-135",136860
"ZOLEDRONATE, FLUCONAZOLE",9.06,"(7.91, 10.34)","9.22e-155",136860
"PRAVASTATIN, SIMVASTATIN",8.99,"(7.93, 10.17)","5.84e-178",136860
"EPOETIN ALFA, HYDROCODONE",8.97,"(7.97, 10.08)","1.59e-198",136860
"ZOLEDRONATE, HYDROCODONE",8.97,"(8.32, 9.66)","0.00e+00",136860
"SALBUTAMOL, ZOLEDRONATE",8.87,"(7.91, 9.92)","2.14e-209",136860
"CEPHALEXIN, GABAPENTIN",8.78,"(7.6, 10.11)","2.69e-133",136860
"LORAZEPAM, ZOLEDRONATE",8.77,"(8.01, 9.59)","0.00e+00",136860
"ZOLEDRONATE, ALPRAZOLAM",8.76,"(7.83, 9.78)","1.72e-216",136860
"PAMIDRONATE, LEVOTHYROXINE",8.74,"(7.55, 10.1)","2.45e-127",136860
"ZOLEDRONATE, ACYCLOVIR",8.55,"(7.42, 9.83)","4.43e-133",136860
"AZITHROMYCIN, CEPHALEXIN",8.55,"(7.45, 9.79)","3.93e-142",136860
"PAMIDRONATE, DOXORUBICIN",8.54,"(7.42, 9.81)","4.94e-136",136860
"TRAMADOL, ZOLEDRONATE",8.54,"(7.46, 9.74)","4.90e-148",136860
"OXYCODONE, CEPHALEXIN",8.53,"(7.58, 9.58)","3.78e-190",136860
"EPOETIN ALFA, GABAPENTIN",8.5,"(7.55, 9.55)","3.11e-188",136860
"RANITIDINE, ZOLEDRONATE",8.28,"(7.28, 9.4)","1.68e-157",136860
"PAMIDRONATE, LETROZOLE",8.24,"(7.15, 9.46)","2.45e-131",136860
"SIMVASTATIN, AZITHROMYCIN",8.23,"(7.1, 9.52)","5.53e-119",136860
"SIMVASTATIN, ZOLEDRONATE",8.12,"(7.34, 8.98)","5.48e-245",136860
"ZOLEDRONATE, ESOMEPRAZOLE",8.11,"(7.34, 8.94)","7.83e-254",136860
"PANTOPRAZOLE, ZOLEDRONATE",8.09,"(7.36, 8.89)","8.05e-277",136860
"ATORVASTATIN, AZITHROMYCIN",8.03,"(6.95, 9.26)","2.06e-121",136860
"PAMIDRONATE, LISINOPRIL",7.99,"(6.87, 9.25)","2.90e-113",136860
"FENTANYL, LEVOFLOXACIN",7.95,"(7.06, 8.94)","3.42e-177",136860
"METOCLOPRAMIDE, ZOLEDRONATE",7.93,"(7, 8.97)","3.12e-158",136860
"POTASSIUM CHLORIDE, ZOLEDRONATE",7.9,"(7.09, 8.79)","6.51e-210",136860
"MORPHINE, ZOLEDRONATE",7.85,"(7.15, 8.6)","1.82e-281",136860
"FENTANYL, LETROZOLE",7.83,"(6.75, 9.07)","2.90e-112",136860
"OXYCODONE, ZOLEDRONATE",7.79,"(7.28, 8.32)","0.00e+00",136860
"ZOLEDRONATE, HYDROCHLOROTHIAZIDE",7.74,"(6.97, 8.59)","8.72e-218",136860
"NAPROXEN, FENTANYL",7.71,"(6.66, 8.88)","1.18e-116",136860
"CIPROFLOXACIN, GABAPENTIN",7.65,"(6.74, 8.66)","1.52e-151",136860
"TRIAMCINOLONE, HYDROCODONE",7.63,"(6.65, 8.73)","2.27e-129",136860
"ZOLEDRONATE, DIPHENHYDRAMINE",7.61,"(6.51, 8.85)","1.19e-101",136860
"ACETAMINOPHEN, ZOLEDRONATE",7.6,"(7.18, 8.05)","0.00e+00",136860
"METOPROLOL, ZOLEDRONATE",7.56,"(6.88, 8.3)","1.03e-262",136860
"OMEPRAZOLE, ZOLEDRONATE",7.51,"(6.92, 8.14)","0.00e+00",136860
"PROCHLORPERAZINE, LEVOFLOXACIN",7.47,"(6.47, 8.6)","1.82e-116",136860
"EPOETIN ALFA, FENTANYL",7.43,"(6.37, 8.63)","8.24e-102",136860
"PROCHLORPERAZINE, CIPROFLOXACIN",7.41,"(6.38, 8.59)","9.28e-106",136860
"AZITHROMYCIN, HYDROCODONE",7.41,"(6.65, 8.24)","1.42e-200",136860
"AZITHROMYCIN, ESOMEPRAZOLE",7.4,"(6.41, 8.52)","8.32e-115",136860
"OXYCODONE, PROPOXYPHENE",7.4,"(6.37, 8.58)","1.13e-105",136860
"PAMIDRONATE, DEXAMETHASONE",7.39,"(6.79, 8.05)","2.63e-312",136860
"DEXAMETHASONE, ESCITALOPRAM",7.35,"(6.3, 8.55)","1.05e-99",136860
"ATORVASTATIN, ZOLEDRONATE",7.35,"(6.6, 8.17)","7.97e-201",136860
"WARFARIN, ZOLEDRONATE",7.34,"(6.74, 7.98)","1.91e-311",136860
"ONDANSETRON, ZOLEDRONATE",7.32,"(6.55, 8.17)","1.09e-187",136860
"OXYCODONE, DARBEPOETIN ALFA",7.29,"(6.31, 8.4)","9.33e-112",136860
"PAMIDRONATE, PREDNISONE",7.29,"(6.52, 8.13)","1.80e-187",136860
"GADOBENATE DIMEGLUMINE, GADOTERIDOL",7.28,"(6.44, 8.2)","9.18e-156",136860
"CELECOXIB, DEXAMETHASONE",7.26,"(6.27, 8.38)","3.49e-109",136860
"DARBEPOETIN ALFA, HYDROCODONE",7.26,"(6.19, 8.48)","2.07e-93",136860
"ZOLPIDEM, CEPHALEXIN",7.26,"(6.31, 8.33)","1.06e-117",136860
"GADOTERIDOL, GADOVERSETAMIDE",7.24,"(6.4, 8.17)","4.78e-152",136860
"SIMVASTATIN, TRIMETHOPRIM",7.22,"(6.38, 8.15)","4.98e-149",136860
"RALOXIFENE, TERIPARATIDE",7.21,"(6.3, 8.23)","4.35e-126",136860
"AZITHROMYCIN, CIPROFLOXACIN",7.21,"(6.32, 8.2)","9.95e-133",136860
"PAROXETINE, DEXAMETHASONE",7.16,"(6.11, 8.36)","5.91e-93",136860
"CEPHALEXIN, CIPROFLOXACIN",7.16,"(6.16, 8.29)","3.49e-103",136860
"ZOLEDRONATE, FUROSEMIDE",7.13,"(6.55, 7.76)","7.92e-307",136860
"SIMVASTATIN, FLUCONAZOLE",7.11,"(6.15, 8.2)","5.40e-108",136860
"WARFARIN, EPOETIN ALFA",7.1,"(6.4, 7.87)","1.43e-206",136860
"OXYCODONE, CLINDAMYCIN",7.1,"(6.14, 8.19)","2.79e-108",136860
"SERTRALINE, ZOLEDRONATE",7.09,"(6.2, 8.09)","2.47e-126",136860
"OXYCODONE, LEVOFLOXACIN",7.08,"(6.43, 7.79)","6.97e-238",136860
"GADOBENATE DIMEGLUMINE, GADOVERSETAMIDE",7.06,"(6.25, 7.95)","2.45e-152",136860
"GABAPENTIN, HYDROMORPHONE",7.04,"(6.25, 7.91)","1.48e-159",136860
"PREDNISOLONE, HYDROCODONE",7,"(5.97, 8.19)","2.92e-89",136860
"ZOLEDRONATE, DARBEPOETIN ALFA",7,"(6.13, 7.97)","2.72e-127",136860
"ZOLEDRONATE, LISINOPRIL",6.98,"(6.26, 7.76)","1.21e-188",136860
"THALIDOMIDE, FUROSEMIDE",6.98,"(6.02, 8.06)","9.28e-105",136860
"ACETYLSALICYLIC ACID, CLARITHROMYCIN",6.98,"(6.12, 7.94)","9.11e-129",136860
"PREGABALIN, ZOLEDRONATE",6.96,"(6, 8.06)","1.53e-101",136860
"GADOPENTETATE DIMEGLUMINE, GADOTERIDOL",6.95,"(6.16, 7.83)","1.38e-150",136860
"METRONIDAZOLE, HYDROCODONE",6.94,"(6.1, 7.88)","4.61e-133",136860
"GADODIAMIDE, GADOTERIDOL",6.94,"(6.14, 7.82)","5.56e-150",136860
"CLINDAMYCIN, HYDROCODONE",6.93,"(6.03, 7.94)","4.33e-115",136860
"NYSTATIN, HYDROCODONE",6.91,"(5.89, 8.08)","2.16e-88",136860
"CEPHALEXIN, LEVOFLOXACIN",6.9,"(5.89, 8.05)","1.79e-90",136860
"GADOBENATE DIMEGLUMINE, GADOPENTETATE DIMEGLUMINE",6.9,"(6.12, 7.77)","7.40e-153",136860
"ZOLEDRONATE, FOLIC ACID",6.9,"(6.01, 7.89)","2.63e-117",136860
"AZITHROMYCIN, ZOLPIDEM",6.89,"(6.01, 7.88)","1.71e-118",136860
"ZOLEDRONATE, ALENDRONATE",6.88,"(6.15, 7.68)","8.62e-176",136860
"GADOBENATE DIMEGLUMINE, GADODIAMIDE",6.87,"(6.09, 7.73)","1.71e-151",136860
"CYCLOBENZAPRINE, DIAZEPAM",6.82,"(5.94, 7.8)","2.71e-116",136860
"NYSTATIN, OXYCODONE",6.8,"(5.9, 7.81)","1.18e-109",136860
"ZOLEDRONATE, FENTANYL",6.78,"(6.26, 7.35)","0.00e+00",136860
"IBUPROFEN, LEVOFLOXACIN",6.78,"(5.95, 7.7)","9.53e-128",136860
"AZITHROMYCIN, HYDROCHLOROTHIAZIDE",6.75,"(5.74, 7.91)","7.36e-84",136860
"ZOLEDRONATE, FULVESTRANT",6.71,"(5.87, 7.65)","5.63e-120",136860
"PAMIDRONATE, CYCLOPHOSPHAMIDE",6.7,"(5.77, 7.75)","8.87e-98",136860
"ATENOLOL, ZOLEDRONATE",6.68,"(5.83, 7.63)","3.60e-116",136860
"ZOLEDRONATE, DOXORUBICIN",6.65,"(5.88, 7.5)","7.43e-142",136860
"PAMIDRONATE, ACETYLSALICYLIC ACID",6.64,"(5.91, 7.45)","1.25e-155",136860
"LORAZEPAM, AZITHROMYCIN",6.63,"(5.76, 7.62)","1.34e-107",136860
"MOXIFLOXACIN, LEVOFLOXACIN",6.62,"(5.63, 7.75)","1.20e-82",136860
"METAXALONE, HYDROCODONE",6.6,"(5.7, 7.6)","2.89e-101",136860
"OMEPRAZOLE, TRIAMCINOLONE",6.59,"(5.68, 7.62)","5.08e-97",136860
"OXYCODONE, CIPROFLOXACIN",6.59,"(5.93, 7.31)","5.20e-186",136860
"MORPHINE, LEVOFLOXACIN",6.56,"(5.81, 7.38)","1.03e-143",136860
"NORTRIPTYLINE, GABAPENTIN",6.55,"(5.58, 7.67)","2.01e-82",136860
"CEPHALEXIN, IBUPROFEN",6.52,"(5.62, 7.53)","7.64e-98",136860
"PROCHLORPERAZINE, GABAPENTIN",6.51,"(5.7, 7.4)","2.64e-121",136860
"AMOXICILLIN, GABAPENTIN",6.49,"(5.72, 7.34)","5.46e-131",136860
"CIPROFLOXACIN, ALPRAZOLAM",6.48,"(5.61, 7.46)","3.98e-101",136860
"GADOPENTETATE DIMEGLUMINE, GADOVERSETAMIDE",6.48,"(5.79, 7.24)","1.44e-162",136860
"ZOLPIDEM, LEVOFLOXACIN",6.42,"(5.77, 7.14)","8.82e-176",136860
"ROSUVASTATIN, EZETIMIBE",6.4,"(5.81, 7.03)","1.60e-222",136860
"HYDROCODONE, LEVOFLOXACIN",6.4,"(5.81, 7.03)","1.60e-222",136860
"DOCETAXEL, HYDROCODONE",6.37,"(5.45, 7.41)","6.89e-86",136860
"ZOLEDRONATE, FAMOTIDINE",6.36,"(5.52, 7.3)","6.99e-103",136860
"DEXAMETHASONE, EPOETIN ALFA",6.33,"(5.62, 7.1)","5.30e-145",136860
"METFORMIN, ZOLEDRONATE",6.33,"(5.45, 7.31)","1.39e-93",136860
"CIPROFLOXACIN, CLINDAMYCIN",6.33,"(5.42, 7.36)","2.81e-86",136860
"PROPOXYPHENE, HYDROCODONE",6.3,"(5.52, 7.18)","3.91e-115",136860
"GADODIAMIDE, GADOVERSETAMIDE",6.3,"(5.62, 7.05)","8.08e-154",136860
"OXYCODONE, CLAVULANATE",6.3,"(5.36, 7.37)","2.51e-80",136860
"CEPHALEXIN, HYDROCODONE",6.3,"(5.65, 7)","2.10e-169",136860
"OXYCODONE, DOXORUBICIN",6.29,"(5.43, 7.27)","1.34e-93",136860
"METRONIDAZOLE, ZOLPIDEM",6.28,"(5.38, 7.31)","3.17e-86",136860
"SEVELAMER, EPOETIN ALFA",6.25,"(5.51, 7.06)","1.70e-129",136860
"METHYLPREDNISOLONE, GABAPENTIN",6.22,"(5.26, 7.32)","1.40e-73",136860
"AMOXICILLIN, OXYCODONE",6.22,"(5.58, 6.93)","1.81e-165",136860
"ZOLEDRONATE, LEVOTHYROXINE",6.22,"(5.64, 6.85)","2.54e-207",136860
"GADODIAMIDE, GADOPENTETATE DIMEGLUMINE",6.21,"(5.6, 6.89)","5.01e-180",136860
"PANTOPRAZOLE, AZITHROMYCIN",6.21,"(5.35, 7.19)","4.80e-91",136860
"PAMIDRONATE, DOCETAXEL",6.21,"(5.27, 7.28)","3.33e-76",136860
"CELECOXIB, ESCITALOPRAM",6.19,"(5.33, 7.16)","3.85e-91",136860
"AZITHROMYCIN, LEVOFLOXACIN",6.19,"(5.47, 6.99)","1.04e-129",136860
"ANASTROZOLE, FENTANYL",6.18,"(5.28, 7.21)","5.78e-82",136860
"CELECOXIB, DIAZEPAM",6.18,"(5.28, 7.2)","2.86e-82",136860
"WARFARIN, CYCLOBENZAPRINE",6.17,"(5.25, 7.21)","1.28e-78",136860
"ACETAMINOPHEN, EPOETIN ALFA",6.17,"(5.63, 6.75)","5.59e-230",136860
"SALBUTAMOL, EPOETIN ALFA",6.15,"(5.28, 7.14)","9.09e-87",136860
"TERIPARATIDE, ALENDRONATE",6.14,"(5.34, 7.04)","4.44e-102",136860
"ANASTROZOLE, ACETAMINOPHEN",6.13,"(5.27, 7.1)","4.64e-88",136860
"DEXAMETHASONE, IRON",6.12,"(5.31, 7.04)","2.73e-98",136860
"ATORVASTATIN, FLUCONAZOLE",6.12,"(5.2, 7.16)","2.58e-77",136860
"SERTRALINE, CITALOPRAM",6.11,"(5.25, 7.08)","7.46e-88",136860
"PROPOXYPHENE, GABAPENTIN",6.09,"(5.17, 7.15)","1.01e-74",136860
"CIPROFLOXACIN, HYDROCODONE",6.09,"(5.48, 6.75)","2.71e-174",136860
"CLINDAMYCIN, LEVOFLOXACIN",6.09,"(5.18, 7.13)","1.35e-76",136860
"CARISOPRODOL, GABAPENTIN",6.08,"(5.32, 6.94)","1.01e-108",136860
"ACYCLOVIR, HYDROCODONE",6.08,"(5.2, 7.09)","7.34e-81",136860
"ZOLEDRONATE, EXEMESTANE",6.07,"(5.26, 6.99)","1.16e-95",136860
"ALPRAZOLAM, LEVOFLOXACIN",6.07,"(5.32, 6.91)","7.56e-113",136860
"ZOLPIDEM, CELECOXIB",6.06,"(5.45, 6.74)","1.79e-167",136860
"ZOLEDRONATE, CALCIUM",6.05,"(5.52, 6.63)","1.32e-224",136860
"MORPHINE, NYSTATIN",6.05,"(5.12, 7.13)","8.49e-71",136860
"FLUCONAZOLE, HYDROCODONE",6.05,"(5.36, 6.8)","5.91e-134",136860
"METRONIDAZOLE, DEXAMETHASONE",6.04,"(5.18, 7.03)","3.25e-83",136860
"PAMIDRONATE, THALIDOMIDE",6.04,"(5.33, 6.83)","6.41e-125",136860
"OXYCODONE, DOCETAXEL",6.02,"(5.27, 6.86)","4.95e-109",136860
"OXYCODONE, ROFECOXIB",6.02,"(5.35, 6.75)","1.28e-139",136860
"LORAZEPAM, EPOETIN ALFA",6,"(5.17, 6.93)","2.53e-89",136860
"MORPHINE, NAPROXEN",5.99,"(5.13, 6.98)","4.18e-81",136860
"ALENDRONATE, FLUOXETINE",5.98,"(5.06, 7.04)","1.70e-70",136860
"ATORVASTATIN, CIPROFLOXACIN",5.97,"(5.22, 6.81)","6.45e-108",136860
"METAXALONE, ACETAMINOPHEN",5.97,"(5.26, 6.76)","1.08e-118",136860
"METHYLPREDNISOLONE, OXYCODONE",5.97,"(5.07, 6.99)","1.26e-74",136860
"PROCHLORPERAZINE, ACYCLOVIR",5.97,"(5.03, 7.04)","2.03e-68",136860
"AMOXICILLIN, DEXAMETHASONE",5.96,"(5.26, 6.74)","9.36e-123",136860
"AMOXICILLIN, SIMVASTATIN",5.96,"(5.31, 6.68)","1.29e-141",136860
"ZOLPIDEM, HYDROMORPHONE",5.94,"(5.15, 6.84)","8.56e-95",136860
"OXYCODONE, THALIDOMIDE",5.94,"(5.11, 6.87)","5.10e-87",136860
"RALOXIFENE, ALENDRONATE",5.94,"(5.1, 6.88)","1.06e-84",136860
"METRONIDAZOLE, OXYCODONE",5.91,"(5.15, 6.77)","1.55e-100",136860
"SIMVASTATIN, VITAMIN E",5.89,"(5.12, 6.76)","5.95e-98",136860
"SEVELAMER, ACETAMINOPHEN",5.89,"(5.01, 6.9)","1.87e-73",136860
"CIPROFLOXACIN, FENTANYL",5.88,"(5.14, 6.7)","1.05e-105",136860
"GABAPENTIN, LIDOCAINE",5.87,"(5.11, 6.73)","5.35e-98",136860
"PAROXETINE, TRAMADOL",5.86,"(5.09, 6.73)","3.08e-95",136860
"VITAMIN D, FENTANYL",5.83,"(5.06, 6.7)","4.29e-94",136860
"CYCLOBENZAPRINE, FENTANYL",5.81,"(5.08, 6.63)","3.19e-103",136860
"AZITHROMYCIN, FUROSEMIDE",5.81,"(5.13, 6.55)","1.68e-123",136860
"AMOXICILLIN, ZOLPIDEM",5.79,"(5.09, 6.58)","1.33e-111",136860
"CALCITRIOL, EPOETIN ALFA",5.79,"(4.91, 6.8)","3.74e-70",136860
"DEXAMETHASONE, GABAPENTIN",5.78,"(5.24, 6.37)","2.80e-190",136860
"AZITHROMYCIN, WARFARIN",5.77,"(4.93, 6.73)","1.35e-75",136860
"ALPRAZOLAM, FEXOFENADINE",5.77,"(4.98, 6.66)","2.00e-86",136860
"PROCHLORPERAZINE, ATORVASTATIN",5.77,"(4.92, 6.73)","1.57e-75",136860
"SIMVASTATIN, CEPHALEXIN",5.76,"(4.85, 6.81)","5.20e-65",136860
"WARFARIN, DOXORUBICIN",5.74,"(4.85, 6.77)","1.07e-66",136860
"DEXAMETHASONE, AMITRIPTYLINE",5.74,"(4.89, 6.7)","4.40e-74",136860
"POTASSIUM, DEXAMETHASONE",5.73,"(5.03, 6.51)","1.65e-109",136860
"CINACALCET, EPOETIN ALFA",5.73,"(4.85, 6.74)","1.90e-68",136860
"OXYCODONE, POTASSIUM",5.73,"(5.12, 6.41)","6.33e-142",136860
"ROSUVASTATIN, FENOFIBRATE",5.73,"(5.11, 6.41)","3.57e-141",136860
"VITAMIN D, ZOLEDRONATE",5.73,"(5.24, 6.26)","9.59e-227",136860
"ZOLPIDEM, EPOETIN ALFA",5.73,"(4.87, 6.71)","2.17e-71",136860
"ALENDRONATE, EZETIMIBE",5.71,"(4.87, 6.68)","1.88e-73",136860
"PROCHLORPERAZINE, IBUPROFEN",5.71,"(4.88, 6.65)","2.15e-76",136860
"SIMVASTATIN, LEVOFLOXACIN",5.71,"(5.04, 6.44)","5.95e-121",136860
"OMEPRAZOLE, AZITHROMYCIN",5.7,"(5.02, 6.46)","7.01e-114",136860
"PROMETHAZINE, CIPROFLOXACIN",5.7,"(4.83, 6.68)","6.07e-70",136860
"PAROXETINE, CELECOXIB",5.69,"(4.89, 6.6)","2.13e-81",136860
"MAGNESIUM, GABAPENTIN",5.68,"(4.81, 6.68)","1.46e-67",136860
"ZOLPIDEM, LIDOCAINE",5.68,"(4.79, 6.69)","1.11e-65",136860
"METRONIDAZOLE, FENTANYL",5.67,"(4.85, 6.6)","1.06e-76",136860
"OXYCODONE, ALENDRONATE",5.67,"(4.99, 6.42)","3.01e-113",136860
"SERTRALINE, LEVOFLOXACIN",5.66,"(4.76, 6.69)","2.66e-63",136860
"LORAZEPAM, CELECOXIB",5.66,"(4.97, 6.42)","1.12e-108",136860
"VENLAFAXINE, CELECOXIB",5.66,"(4.88, 6.53)","5.04e-85",136860
"METRONIDAZOLE, SIMVASTATIN",5.65,"(4.77, 6.66)","9.63e-66",136860
"CLINDAMYCIN, DEXAMETHASONE",5.64,"(4.78, 6.64)","1.47e-67",136860
"CYCLOBENZAPRINE, GABAPENTIN",5.64,"(5.12, 6.21)","1.04e-186",136860
"VITAMIN E, WARFARIN",5.64,"(4.75, 6.65)","3.54e-64",136860
"PANTOPRAZOLE, CYCLOBENZAPRINE",5.63,"(4.87, 6.48)","2.44e-88",136860
"CIPROFLOXACIN, LEVOFLOXACIN",5.61,"(5.05, 6.22)","3.57e-160",136860
"AMOXICILLIN, WARFARIN",5.61,"(4.96, 6.32)","6.13e-120",136860
"OMEPRAZOLE, CEPHALEXIN",5.61,"(4.83, 6.48)","5.88e-83",136860
"ACETAMINOPHEN, THALIDOMIDE",5.6,"(4.88, 6.42)","2.39e-95",136860
"ZOLEDRONATE, ACETYLSALICYLIC ACID",5.6,"(5.18, 6.05)","3.06e-289",136860
"FLUCONAZOLE, GABAPENTIN",5.6,"(4.85, 6.44)","2.81e-88",136860
"EPOETIN ALFA, LISINOPRIL",5.59,"(4.89, 6.37)","9.87e-102",136860
"METOCLOPRAMIDE, GABAPENTIN",5.59,"(4.99, 6.25)","5.01e-140",136860
"BACLOFEN, IBUPROFEN",5.58,"(4.69, 6.6)","2.01e-61",136860
"FUROSEMIDE, HYDROMORPHONE",5.58,"(4.91, 6.32)","1.28e-110",136860
"CALCIUM, FENTANYL",5.57,"(4.8, 6.44)","1.04e-81",136860
"ZOLEDRONATE, LANSOPRAZOLE",5.56,"(4.87, 6.34)","6.37e-101",136860
"DEXAMETHASONE, IBUPROFEN",5.56,"(4.88, 6.32)","7.26e-105",136860
"ATENOLOL, LEVOFLOXACIN",5.56,"(4.67, 6.58)","3.09e-61",136860
"ACETAMINOPHEN, CEPHALEXIN",5.56,"(5.06, 6.09)","1.45e-201",136860
"METOCLOPRAMIDE, AMITRIPTYLINE",5.56,"(4.76, 6.46)","7.91e-77",136860
