"Drug_name","OR","95.CI","Pvalue","ac"
"MORPHINE, ZOLEDRONATE, DEXAMETHASONE",11.47,"(10.05, 13.05)","1.79e-198",136860
"AMOXICILLIN, ACETAMINOPHEN, ZOLEDRONATE",11.45,"(10.09, 12.96)","6.74e-214",136860
"ACETAMINOPHEN, ZOLEDRONATE, FUROSEMIDE",11.43,"(10.24, 12.75)","7.17e-278",136860
"MORPHINE, PAMIDRONATE, ZOLEDRONATE",11.32,"(9.93, 12.87)","1.85e-199",136860
"ZOLEDRONATE, DEXAMETHASONE, FUROSEMIDE",11.29,"(9.96, 12.79)","2.41e-212",136860
"OXYCODONE, PAMIDRONATE, ZOLEDRONATE",11.23,"(10.2, 12.34)","0.00e+00",136860
"ZOLEDRONATE, ACETYLSALICYLIC ACID, HYDROCODONE",11.21,"(9.75, 12.87)","6.05e-173",136860
"OXYCODONE, WARFARIN, ZOLEDRONATE",11.18,"(9.82, 12.69)","1.83e-200",136860
"OMEPRAZOLE, ZOLEDRONATE, DEXAMETHASONE",11.17,"(9.87, 12.62)","1.03e-218",136860
"OXYCODONE, DEXAMETHASONE, HYDROCODONE",11.11,"(9.78, 12.61)","5.49e-204",136860
"OXYCODONE, POTASSIUM CHLORIDE, GABAPENTIN",11.08,"(9.63, 12.73)","2.61e-168",136860
"ACETAMINOPHEN, CIPROFLOXACIN, LEVOFLOXACIN",11.01,"(9.61, 12.6)","2.78e-178",136860
"PAMIDRONATE, ZOLEDRONATE, DEXAMETHASONE",11,"(9.98, 12.11)","0.00e+00",136860
"ACETAMINOPHEN, ZOLEDRONATE, ALPRAZOLAM",10.99,"(9.55, 12.61)","7.68e-170",136860
"ACETAMINOPHEN, ZOLPIDEM, CELECOXIB",10.96,"(9.55, 12.55)","2.74e-174",136860
"PREDNISONE, ZOLEDRONATE, HYDROCODONE",10.95,"(9.5, 12.59)","1.97e-165",136860
"PAMIDRONATE, PREDNISONE, ACETAMINOPHEN",10.94,"(9.52, 12.55)","5.25e-170",136860
"ONDANSETRON, ACETAMINOPHEN, ZOLEDRONATE",10.86,"(9.52, 12.37)","1.36e-188",136860
"ACETAMINOPHEN, WARFARIN, ZOLEDRONATE",10.72,"(9.55, 12.01)","1.52e-241",136860
"ACETAMINOPHEN, DIAZEPAM, ALPRAZOLAM",10.67,"(9.25, 12.28)","4.70e-159",136860
"OXYCODONE, ZOLEDRONATE, DEXAMETHASONE",10.67,"(9.68, 11.76)","0.00e+00",136860
"OXYCODONE, ZOLEDRONATE, ACETYLSALICYLIC ACID",10.58,"(9.34, 11.96)","2.78e-205",136860
"OXYCODONE, ACETAMINOPHEN, ZOLEDRONATE",10.57,"(9.78, 11.41)","0.00e+00",136860
"ACETAMINOPHEN, ZOLEDRONATE, ESOMEPRAZOLE",10.45,"(9.15, 11.91)","1.53e-180",136860
"POTASSIUM CHLORIDE, ZOLEDRONATE, FUROSEMIDE",10.45,"(9.11, 11.96)","1.46e-168",136860
"OXYCODONE, ACETAMINOPHEN, AZITHROMYCIN",10.35,"(9.14, 11.7)","9.00e-203",136860
"ZOLEDRONATE, DEXAMETHASONE, FENTANYL",10.35,"(9.09, 11.76)","2.46e-186",136860
"ACETAMINOPHEN, DEXAMETHASONE, LEVOFLOXACIN",10.29,"(9.05, 11.68)","4.06e-189",136860
"OXYCODONE, FUROSEMIDE, HYDROCODONE",10.28,"(9.16, 11.53)","2.48e-231",136860
"ACETAMINOPHEN, DEXAMETHASONE, GABAPENTIN",10.22,"(9.04, 11.53)","2.32e-206",136860
"WARFARIN, ZOLEDRONATE, DEXAMETHASONE",10.19,"(9.03, 11.48)","9.33e-213",136860
"OXYCODONE, CYCLOBENZAPRINE, HYDROCODONE",10.09,"(8.76, 11.6)","1.07e-155",136860
"PAMIDRONATE, ACETAMINOPHEN, ACETYLSALICYLIC ACID",10.04,"(8.7, 11.56)","3.09e-150",136860
"GABAPENTIN, HYDROCODONE, AMITRIPTYLINE",10,"(8.67, 11.5)","1.60e-151",136860
"PAMIDRONATE, ZOLEDRONATE, FENTANYL",9.94,"(8.86, 11.13)","5.36e-229",136860
"OXYCODONE, ACETAMINOPHEN, CEPHALEXIN",9.92,"(8.7, 11.29)","8.18e-177",136860
"POTASSIUM CHLORIDE, ACETAMINOPHEN, ZOLEDRONATE",9.91,"(8.62, 11.37)","1.00e-155",136860
"OXYCODONE, GABAPENTIN, AMITRIPTYLINE",9.78,"(8.46, 11.26)","3.86e-145",136860
"WARFARIN, ZOLEDRONATE, FUROSEMIDE",9.76,"(8.46, 11.24)","1.17e-146",136860
"OXYCODONE, DIAZEPAM, GABAPENTIN",9.76,"(8.47, 11.22)","6.46e-150",136860
"OMEPRAZOLE, ACETAMINOPHEN, LEVOFLOXACIN",9.75,"(8.61, 11.02)","5.81e-192",136860
"METOPROLOL, ACETAMINOPHEN, ZOLEDRONATE",9.64,"(8.39, 11.05)","3.09e-154",136860
"ACETAMINOPHEN, ZOLEDRONATE, DEXAMETHASONE",9.62,"(8.77, 10.54)","0.00e+00",136860
"OXYCODONE, HYDROCODONE, IBUPROFEN",9.62,"(8.4, 10.98)","1.28e-161",136860
"MORPHINE, OXYCODONE, GABAPENTIN",9.58,"(8.49, 10.79)","2.36e-202",136860
"OXYCODONE, GABAPENTIN, HYDROCODONE",9.54,"(8.54, 10.64)","4.51e-239",136860
"PROCHLORPERAZINE, ACETAMINOPHEN, FENTANYL",9.54,"(8.24, 11.01)","3.78e-138",136860
"ACETAMINOPHEN, ZOLPIDEM, LEVOFLOXACIN",9.5,"(8.37, 10.77)","6.00e-181",136860
"ACETAMINOPHEN, ZOLEDRONATE, HYDROCODONE",9.37,"(8.66, 10.14)","0.00e+00",136860
"OXYCODONE, FENTANYL, HYDROCODONE",9.35,"(8.31, 10.49)","5.46e-209",136860
"OXYCODONE, POTASSIUM CHLORIDE, HYDROCODONE",9.34,"(8.05, 10.79)","1.06e-133",136860
"ZOLEDRONATE, DEXAMETHASONE, DOXORUBICIN",9.3,"(8.03, 10.75)","6.32e-134",136860
"OXYCODONE, WARFARIN, GABAPENTIN",9.25,"(8.02, 10.64)","1.97e-141",136860
"MORPHINE, ACETAMINOPHEN, LEVOFLOXACIN",9.19,"(8, 10.54)","2.71e-148",136860
"ACETAMINOPHEN, EPOETIN ALFA, HYDROCODONE",9.19,"(8.11, 10.4)","1.85e-180",136860
"OMEPRAZOLE, OXYCODONE, HYDROCODONE",9.19,"(8.11, 10.4)","1.85e-180",136860
"OXYCODONE, PREDNISONE, ZOLEDRONATE",9.16,"(8.05, 10.39)","1.19e-172",136860
"OXYCODONE, ZOLPIDEM, DEXAMETHASONE",9.14,"(7.94, 10.48)","3.86e-146",136860
"MORPHINE, FUROSEMIDE, GABAPENTIN",9.13,"(7.87, 10.57)","9.43e-129",136860
"OXYCODONE, ACETAMINOPHEN, LEVOFLOXACIN",9.12,"(8.21, 10.12)","2.17e-250",136860
"OXYCODONE, PANTOPRAZOLE, GABAPENTIN",9.08,"(7.87, 10.45)","2.58e-139",136860
"OMEPRAZOLE, ZOLPIDEM, GABAPENTIN",9.08,"(7.84, 10.48)","6.33e-132",136860
"MORPHINE, OXYCODONE, DEXAMETHASONE",8.93,"(7.79, 10.22)","2.74e-149",136860
"ACETAMINOPHEN, ZOLEDRONATE, ACETYLSALICYLIC ACID",8.9,"(7.99, 9.9)","1.03e-234",136860
"OMEPRAZOLE, OXYCODONE, ZOLPIDEM",8.87,"(7.76, 10.11)","2.57e-155",136860
"OMEPRAZOLE, ZOLPIDEM, HYDROCODONE",8.85,"(7.73, 10.1)","5.80e-152",136860
"OXYCODONE, FUROSEMIDE, GABAPENTIN",8.84,"(7.92, 9.86)","5.29e-224",136860
"LORAZEPAM, OXYCODONE, HYDROCODONE",8.78,"(7.75, 9.93)","2.48e-174",136860
"ONDANSETRON, ZOLEDRONATE, DEXAMETHASONE",8.78,"(7.61, 10.1)","2.30e-135",136860
"OXYCODONE, DIAZEPAM, HYDROCODONE",8.74,"(7.66, 9.96)","5.70e-156",136860
"LORAZEPAM, DEXAMETHASONE, HYDROCODONE",8.74,"(7.55, 10.1)","2.45e-127",136860
"ACETAMINOPHEN, ZOLEDRONATE, LISINOPRIL",8.71,"(7.51, 10.07)","5.70e-125",136860
"OXYCODONE, ZOLPIDEM, GABAPENTIN",8.71,"(7.71, 9.82)","4.88e-182",136860
"ACETAMINOPHEN, ZOLPIDEM, ESCITALOPRAM",8.68,"(7.58, 9.91)","4.51e-149",136860
"OXYCODONE, ZOLPIDEM, HYDROCODONE",8.67,"(7.73, 9.71)","1.96e-203",136860
"ACETAMINOPHEN, TRIAMCINOLONE, HYDROCODONE",8.67,"(7.52, 9.96)","8.66e-136",136860
"OXYCODONE, WARFARIN, DEXAMETHASONE",8.64,"(7.45, 10)","2.25e-124",136860
"ACETAMINOPHEN, FLUCONAZOLE, LEVOFLOXACIN",8.64,"(7.44, 10)","9.14e-122",136860
"MORPHINE, FENTANYL, HYDROCODONE",8.6,"(7.45, 9.89)","4.97e-133",136860
"AMOXICILLIN, ACETAMINOPHEN, DEXAMETHASONE",8.57,"(7.36, 9.94)","4.01e-118",136860
"PAMIDRONATE, ZOLEDRONATE, ACETYLSALICYLIC ACID",8.55,"(7.49, 9.75)","2.89e-152",136860
"ACETAMINOPHEN, DIAZEPAM, GABAPENTIN",8.55,"(7.54, 9.68)","7.62e-169",136860
"ACETAMINOPHEN, AZITHROMYCIN, HYDROCODONE",8.48,"(7.59, 9.47)","4.74e-212",136860
"ACETAMINOPHEN, CITALOPRAM, GABAPENTIN",8.47,"(7.33, 9.75)","3.10e-130",136860
"OXYCODONE, ZOLPIDEM, FUROSEMIDE",8.45,"(7.45, 9.57)","4.70e-166",136860
"PREDNISONE, ACETAMINOPHEN, ZOLEDRONATE",8.43,"(7.51, 9.43)","3.57e-199",136860
"ZOLPIDEM, FUROSEMIDE, GABAPENTIN",8.41,"(7.26, 9.71)","1.19e-123",136860
"PANTOPRAZOLE, ACETAMINOPHEN, ESOMEPRAZOLE",8.4,"(7.26, 9.69)","4.42e-125",136860
"ZOLEDRONATE, ACETYLSALICYLIC ACID, FUROSEMIDE",8.39,"(7.22, 9.72)","1.54e-118",136860
"OMEPRAZOLE, OXYCODONE, ALPRAZOLAM",8.37,"(7.25, 9.63)","2.86e-129",136860
"OXYCODONE, ACETAMINOPHEN, CIPROFLOXACIN",8.35,"(7.42, 9.37)","1.53e-187",136860
"OXYCODONE, SALBUTAMOL, HYDROCODONE",8.3,"(7.22, 9.52)","1.71e-135",136860
"OXYCODONE, ACETAMINOPHEN, ALENDRONATE",8.3,"(7.17, 9.57)","1.39e-123",136860
"PAMIDRONATE, PREDNISONE, ZOLEDRONATE",8.29,"(7.31, 9.39)","4.67e-163",136860
"OMEPRAZOLE, OXYCODONE, DEXAMETHASONE",8.27,"(7.27, 9.39)","7.00e-156",136860
"ONDANSETRON, ACETAMINOPHEN, GABAPENTIN",8.27,"(7.13, 9.56)","2.40e-120",136860
"PANTOPRAZOLE, FUROSEMIDE, GABAPENTIN",8.23,"(7.12, 9.47)","2.55e-126",136860
"ACETAMINOPHEN, CYCLOBENZAPRINE, GABAPENTIN",8.17,"(7.22, 9.23)","8.01e-167",136860
"OXYCODONE, DEXAMETHASONE, FENTANYL",8.16,"(7.13, 9.31)","9.45e-143",136860
"OXYCODONE, DEXAMETHASONE, FUROSEMIDE",8.11,"(7.09, 9.24)","4.55e-144",136860
"OXYCODONE, PROPOXYPHENE, ACETAMINOPHEN",8.09,"(6.94, 9.4)","6.82e-110",136860
"OXYCODONE, ESOMEPRAZOLE, HYDROCODONE",8.07,"(6.93, 9.36)","4.02e-112",136860
"OMEPRAZOLE, PANTOPRAZOLE, ACETAMINOPHEN",8.05,"(7.06, 9.15)","1.07e-148",136860
"PAMIDRONATE, ZOLEDRONATE, LETROZOLE",8.03,"(6.89, 9.31)","3.24e-111",136860
"ACETAMINOPHEN, WARFARIN, LEVOFLOXACIN",8,"(6.94, 9.2)","1.98e-125",136860
"METOCLOPRAMIDE, ACETAMINOPHEN, GABAPENTIN",7.99,"(6.92, 9.19)","2.27e-123",136860
"FENTANYL, FUROSEMIDE, HYDROCODONE",7.96,"(6.91, 9.16)","4.59e-125",136860
"ROFECOXIB, ACETAMINOPHEN, GABAPENTIN",7.96,"(6.87, 9.19)","2.78e-117",136860
"CYCLOBENZAPRINE, GABAPENTIN, HYDROCODONE",7.95,"(6.87, 9.16)","1.32e-119",136860
"ACETAMINOPHEN, ZOLPIDEM, DEXAMETHASONE",7.86,"(6.89, 8.93)","8.55e-146",136860
"METOPROLOL, OXYCODONE, GABAPENTIN",7.85,"(6.82, 9.02)","9.13e-126",136860
"LORAZEPAM, OXYCODONE, GABAPENTIN",7.84,"(6.91, 8.89)","9.09e-153",136860
"OXYCODONE, PANTOPRAZOLE, ZOLPIDEM",7.78,"(6.66, 9.05)","3.98e-104",136860
"PREDNISONE, ZOLEDRONATE, DEXAMETHASONE",7.75,"(6.75, 8.88)","6.73e-129",136860
"OXYCODONE, PANTOPRAZOLE, DEXAMETHASONE",7.75,"(6.63, 9.01)","7.34e-104",136860
"OMEPRAZOLE, ZOLEDRONATE, ACETYLSALICYLIC ACID",7.74,"(6.71, 8.92)","7.22e-120",136860
"ACETAMINOPHEN, CELECOXIB, GABAPENTIN",7.72,"(6.74, 8.83)","2.09e-131",136860
"MORPHINE, OXYCODONE, PANTOPRAZOLE",7.72,"(6.61, 8.98)","3.79e-103",136860
"MORPHINE, OXYCODONE, PREDNISONE",7.7,"(6.59, 8.97)","1.59e-102",136860
"METOPROLOL, ATORVASTATIN, SIMVASTATIN",7.69,"(6.58, 8.96)","1.95e-102",136860
"PAMIDRONATE, THALIDOMIDE, DEXAMETHASONE",7.68,"(6.61, 8.89)","8.98e-110",136860
"ACETAMINOPHEN, ZOLPIDEM, DIAZEPAM",7.68,"(6.63, 8.85)","7.45e-116",136860
"LORAZEPAM, ACETAMINOPHEN, IBUPROFEN",7.67,"(6.74, 8.7)","3.58e-146",136860
"MORPHINE, OXYCODONE, HYDROCODONE",7.65,"(6.71, 8.69)","3.73e-142",136860
"OMEPRAZOLE, OXYCODONE, GABAPENTIN",7.63,"(6.74, 8.63)","1.37e-154",136860
"ACETAMINOPHEN, FLUOXETINE, GABAPENTIN",7.63,"(6.59, 8.81)","1.54e-113",136860
"OXYCODONE, PANTOPRAZOLE, HYDROCODONE",7.61,"(6.53, 8.84)","2.09e-105",136860
"LORAZEPAM, PAROXETINE, ACETAMINOPHEN",7.6,"(6.53, 8.83)","7.17e-105",136860
"MORPHINE, OXYCODONE, ZOLPIDEM",7.59,"(6.57, 8.74)","2.62e-117",136860
"POTASSIUM, ACETAMINOPHEN, WARFARIN",7.59,"(6.5, 8.83)","1.78e-101",136860
"ACETAMINOPHEN, CLINDAMYCIN, HYDROCODONE",7.58,"(6.57, 8.73)","3.20e-117",136860
"PANTOPRAZOLE, ACETAMINOPHEN, GABAPENTIN",7.58,"(6.71, 8.55)","2.45e-160",136860
"AMOXICILLIN, OXYCODONE, POTASSIUM",7.58,"(6.49, 8.82)","2.17e-101",136860
"METRONIDAZOLE, ACETAMINOPHEN, HYDROCODONE",7.58,"(6.63, 8.63)","4.41e-137",136860
"MORPHINE, ZOLPIDEM, HYDROCODONE",7.57,"(6.49, 8.8)","3.51e-103",136860
"ZOLPIDEM, FENTANYL, HYDROCODONE",7.57,"(6.56, 8.7)","2.25e-119",136860
"ACETAMINOPHEN, GABAPENTIN, AMITRIPTYLINE",7.55,"(6.69, 8.51)","1.12e-162",136860
"OMEPRAZOLE, ACETAMINOPHEN, ESOMEPRAZOLE",7.55,"(6.6, 8.61)","5.79e-134",136860
"OMEPRAZOLE, ALPRAZOLAM, HYDROCODONE",7.55,"(6.53, 8.69)","2.43e-116",136860
"PREGABALIN, ACETAMINOPHEN, GABAPENTIN",7.52,"(6.51, 8.67)","3.46e-115",136860
"OXYCODONE, FENTANYL, GABAPENTIN",7.48,"(6.63, 8.42)","1.45e-161",136860
"OXYCODONE, ACETYLSALICYLIC ACID, HYDROCODONE",7.47,"(6.6, 8.44)","3.86e-154",136860
"ATORVASTATIN, SIMVASTATIN, ACETYLSALICYLIC ACID",7.45,"(6.62, 8.38)","1.10e-166",136860
"MORPHINE, DEXAMETHASONE, FENTANYL",7.44,"(6.39, 8.64)","2.52e-103",136860
"OXYCODONE, ACETAMINOPHEN, FLUCONAZOLE",7.44,"(6.49, 8.51)","3.91e-127",136860
"OXYCODONE, PREDNISONE, GABAPENTIN",7.42,"(6.47, 8.48)","8.93e-128",136860
"OXYCODONE, ZOLPIDEM, FENTANYL",7.41,"(6.47, 8.47)","3.87e-128",136860
"OXYCODONE, POTASSIUM, ACETAMINOPHEN",7.4,"(6.5, 8.41)","7.12e-140",136860
"OXYCODONE, SULFAMETHOXAZOLE, ACETAMINOPHEN",7.36,"(6.37, 8.48)","1.65e-112",136860
"METRONIDAZOLE, OXYCODONE, ACETAMINOPHEN",7.34,"(6.31, 8.51)","4.18e-104",136860
"PAROXETINE, ACETAMINOPHEN, GABAPENTIN",7.34,"(6.29, 8.53)","5.48e-100",136860
"OXYCODONE, PREDNISONE, ZOLPIDEM",7.33,"(6.32, 8.46)","5.95e-109",136860
"ACETAMINOPHEN, FENTANYL, HYDROMORPHONE",7.32,"(6.27, 8.51)","2.26e-99",136860
"PAMIDRONATE, THALIDOMIDE, ZOLEDRONATE",7.32,"(6.32, 8.45)","2.57e-109",136860
"GADOBENATE DIMEGLUMINE, GADOTERIDOL, GADOVERSETAMIDE",7.31,"(6.46, 8.25)","3.99e-153",136860
"GADOBENATE DIMEGLUMINE, GADOPENTETATE DIMEGLUMINE, GADOTERIDOL",7.31,"(6.47, 8.24)","6.44e-155",136860
"ACETAMINOPHEN, CELECOXIB, ESOMEPRAZOLE",7.3,"(6.27, 8.47)","6.78e-102",136860
"GADODIAMIDE, GADOTERIDOL, GADOVERSETAMIDE",7.3,"(6.45, 8.23)","7.10e-153",136860
"GADOBENATE DIMEGLUMINE, GADODIAMIDE, GADOTERIDOL",7.29,"(6.45, 8.22)","3.89e-154",136860
"ATORVASTATIN, ACETAMINOPHEN, ALPRAZOLAM",7.28,"(6.35, 8.31)","5.13e-126",136860
"GADOPENTETATE DIMEGLUMINE, GADOTERIDOL, GADOVERSETAMIDE",7.26,"(6.41, 8.19)","5.97e-151",136860
"OMEPRAZOLE, OXYCODONE, PROCHLORPERAZINE",7.25,"(6.18, 8.48)","1.97e-92",136860
"LORAZEPAM, FENTANYL, HYDROCODONE",7.24,"(6.2, 8.44)","2.20e-96",136860
"OXYCODONE, ZOLPIDEM, ESOMEPRAZOLE",7.23,"(6.16, 8.45)","3.49e-92",136860
"AMOXICILLIN, ACETAMINOPHEN, LEVOFLOXACIN",7.22,"(6.18, 8.42)","9.04e-96",136860
"ONDANSETRON, DEXAMETHASONE, HYDROCODONE",7.22,"(6.22, 8.37)","2.16e-103",136860
"ACETAMINOPHEN, DOCETAXEL, HYDROCODONE",7.22,"(6.15, 8.43)","1.50e-92",136860
"NAPROXEN, ACETAMINOPHEN, GABAPENTIN",7.2,"(6.16, 8.38)","2.02e-96",136860
"OXYCODONE, ALPRAZOLAM, GABAPENTIN",7.19,"(6.28, 8.21)","9.74e-127",136860
"OXYCODONE, SALBUTAMOL, ZOLPIDEM",7.17,"(6.13, 8.36)","6.21e-94",136860
"METOPROLOL, OXYCODONE, HYDROCODONE",7.17,"(6.15, 8.33)","8.78e-99",136860
"AMOXICILLIN, ACETAMINOPHEN, ZOLPIDEM",7.15,"(6.15, 8.29)","7.33e-101",136860
"OXYCODONE, ACETAMINOPHEN, VENLAFAXINE",7.14,"(6.34, 8.03)","4.12e-158",136860
"ONDANSETRON, ACETAMINOPHEN, LEVOFLOXACIN",7.14,"(6.1, 8.32)","1.32e-93",136860
"AMOXICILLIN, OXYCODONE, ACETAMINOPHEN",7.13,"(6.31, 8.05)","2.62e-151",136860
"GADOBENATE DIMEGLUMINE, GADODIAMIDE, GADOVERSETAMIDE",7.13,"(6.31, 8.03)","1.82e-153",136860
"ACETAMINOPHEN, ACETYLSALICYLIC ACID, EPOETIN ALFA",7.12,"(6.1, 8.29)","1.39e-96",136860
"PREDNISONE, ZOLPIDEM, HYDROCODONE",7.12,"(6.13, 8.24)","3.17e-103",136860
"OMEPRAZOLE, ACETAMINOPHEN, VENLAFAXINE",7.09,"(6.06, 8.28)","2.64e-92",136860
"GADODIAMIDE, GADOPENTETATE DIMEGLUMINE, GADOTERIDOL",7.09,"(6.28, 8)","4.15e-151",136860
"ZOLPIDEM, ALPRAZOLAM, GABAPENTIN",7.09,"(6.05, 8.27)","3.18e-92",136860
"ACETAMINOPHEN, HYDROCODONE, LEVOFLOXACIN",7.08,"(6.42, 7.81)","7.18e-231",136860
"PANTOPRAZOLE, POTASSIUM, ACETAMINOPHEN",7.08,"(6.03, 8.28)","1.55e-89",136860
