"Drug_name1","Drug_name2","OR","95.CI","Pvalue","ac"
"ACETAMINOPHEN, ZOLEDRONATE, FENTANYL","FENTANYL",11.55,"(10.34, 12.88)","3.42e-308",2767
"THALIDOMIDE, ZOLEDRONATE, DEXAMETHASONE","THALIDOMIDE",11.47,"(9.68, 13.59)","4.66e-146",645
"OXYCODONE, DEXAMETHASONE, GABAPENTIN","DEXAMETHASONE",11.45,"(10.01, 13.06)","9.95e-205",2534
"PAMIDRONATE, ACETAMINOPHEN, FENTANYL","FENTANYL",11.43,"(9.98, 13.08)","1.16e-197",2767
"OXYCODONE, ZOLEDRONATE, DEXAMETHASONE","DEXAMETHASONE",11.43,"(10.26, 12.72)","4.17e-321",2534
"PROCHLORPERAZINE, ZOLEDRONATE, DEXAMETHASONE","DEXAMETHASONE",11.38,"(9.85, 13.13)","1.55e-172",2534
"MORPHINE, ZOLEDRONATE, DEXAMETHASONE","DEXAMETHASONE",11.06,"(9.64, 12.68)","3.45e-186",2534
"ACETAMINOPHEN, ZOLEDRONATE, LEVOFLOXACIN","ACETAMINOPHEN",11.05,"(9.79, 12.47)","7.73e-248",10717
"ZOLEDRONATE, DEXAMETHASONE, FUROSEMIDE","DEXAMETHASONE",11.01,"(9.64, 12.56)","9.24e-200",2534
"OMEPRAZOLE, ZOLEDRONATE, DEXAMETHASONE","DEXAMETHASONE",10.94,"(9.6, 12.46)","5.07e-206",2534
"OXYCODONE, ZOLEDRONATE, FENTANYL","FENTANYL",10.92,"(9.69, 12.3)","5.65e-246",2767
"ONDANSETRON, ACETAMINOPHEN, ZOLEDRONATE","ONDANSETRON",10.8,"(9.33, 12.48)","1.30e-172",1350
"OXYCODONE, DEXAMETHASONE, HYDROCODONE","DEXAMETHASONE",10.79,"(9.42, 12.33)","1.59e-191",2534
"OXYCODONE, ZOLEDRONATE, GABAPENTIN","OXYCODONE",10.6,"(9.44, 11.89)","4.96e-271",4418
"ACETAMINOPHEN, ZOLEDRONATE, DEXAMETHASONE","DEXAMETHASONE",10.52,"(9.49, 11.66)","0.00e+00",2534
"GADODIAMIDE, GADOPENTETATE DIMEGLUMINE, GADOTERIDOL","GADOTERIDOL",10.5,"(5.56, 22.28)","1.29e-24",347
"PAMIDRONATE, ZOLEDRONATE, ZOLPIDEM","ZOLPIDEM",10.32,"(9.05, 11.75)","9.13e-208",3296
"MORPHINE, ACETAMINOPHEN, ZOLEDRONATE","MORPHINE",10.3,"(9.1, 11.65)","3.35e-229",2024
"ACETAMINOPHEN, ZOLEDRONATE, IBUPROFEN","IBUPROFEN",10.26,"(8.94, 11.75)","6.49e-184",3510
"PAMIDRONATE, ACETAMINOPHEN, FUROSEMIDE","FUROSEMIDE",10.26,"(8.96, 11.73)","1.08e-184",6619
"ACETAMINOPHEN, ZOLEDRONATE, GABAPENTIN","ACETAMINOPHEN",10.15,"(9.09, 11.32)","2.51e-279",10717
"METOCLOPRAMIDE, ACETAMINOPHEN, GABAPENTIN","METOCLOPRAMIDE",10.14,"(8.69, 11.82)","1.63e-137",1439
"MORPHINE, ZOLEDRONATE, HYDROCODONE","MORPHINE",10.14,"(8.75, 11.72)","1.54e-158",2024
"PAMIDRONATE, WARFARIN, ZOLEDRONATE","WARFARIN",10.05,"(8.94, 11.3)","4.16e-238",4188
"PROCHLORPERAZINE, ACETAMINOPHEN, ZOLEDRONATE","PROCHLORPERAZINE",10.02,"(8.65, 11.61)","1.10e-177",1033
"WARFARIN, ZOLEDRONATE, DEXAMETHASONE","DEXAMETHASONE",10.01,"(8.81, 11.36)","5.06e-200",2534
"ACETAMINOPHEN, DEXAMETHASONE, GABAPENTIN","DEXAMETHASONE",9.99,"(8.77, 11.36)","1.02e-193",2534
"ZOLEDRONATE, DEXAMETHASONE, FENTANYL","DEXAMETHASONE",9.97,"(8.69, 11.41)","3.98e-174",2534
"ACETAMINOPHEN, DEXAMETHASONE, LEVOFLOXACIN","DEXAMETHASONE",9.93,"(8.67, 11.35)","7.92e-177",2534
"PAMIDRONATE, ZOLEDRONATE, FUROSEMIDE","FUROSEMIDE",9.88,"(8.75, 11.14)","1.93e-222",6619
"AMOXICILLIN, PAMIDRONATE, ZOLEDRONATE","AMOXICILLIN",9.7,"(8.43, 11.15)","1.61e-172",1746
"MORPHINE, ZOLEDRONATE, DEXAMETHASONE","MORPHINE",9.64,"(8.38, 11.07)","2.44e-167",2024
"PAMIDRONATE, ACETAMINOPHEN, FUROSEMIDE","ACETAMINOPHEN",9.64,"(8.42, 11.02)","4.78e-178",10717
"ZOLEDRONATE, FUROSEMIDE, HYDROCODONE","FUROSEMIDE",9.64,"(8.42, 11.01)","4.23e-177",6619
"PAMIDRONATE, ACETAMINOPHEN, WARFARIN","ACETAMINOPHEN",9.57,"(8.39, 10.9)","2.14e-185",10717
"OXYCODONE, ZOLEDRONATE, FUROSEMIDE","FUROSEMIDE",9.56,"(8.49, 10.76)","9.93e-227",6619
"MORPHINE, PAMIDRONATE, ZOLEDRONATE","MORPHINE",9.54,"(8.29, 10.94)","4.28e-168",2024
"ZOLEDRONATE, DEXAMETHASONE, FENTANYL","FENTANYL",9.41,"(8.21, 10.77)","5.53e-168",2767
"OXYCODONE, ZOLEDRONATE, ZOLPIDEM","ZOLPIDEM",9.4,"(8.29, 10.65)","4.04e-206",3296
"ACETAMINOPHEN, ZOLEDRONATE, IBUPROFEN","ACETAMINOPHEN",9.4,"(8.22, 10.73)","6.61e-177",10717
"GADOBENATE DIMEGLUMINE, GADOTERIDOL, GADOVERSETAMIDE","GADOTERIDOL",9.36,"(5.33, 17.92)","1.67e-26",347
"PAMIDRONATE, ACETAMINOPHEN, GABAPENTIN","GABAPENTIN",9.34,"(8.2, 10.63)","4.79e-198",4852
"PAMIDRONATE, ZOLEDRONATE, FENTANYL","FENTANYL",9.32,"(8.25, 10.51)","3.82e-208",2767
"GADODIAMIDE, GADOTERIDOL, GADOVERSETAMIDE","GADOTERIDOL",9.28,"(5.28, 17.77)","2.96e-26",347
"LORAZEPAM, PAMIDRONATE, ZOLEDRONATE","LORAZEPAM",9.22,"(8.13, 10.45)","1.18e-200",3224
"OXYCODONE, PROCHLORPERAZINE, ZOLEDRONATE","PROCHLORPERAZINE",9.2,"(7.91, 10.68)","6.13e-157",1033
"ACETAMINOPHEN, ZOLEDRONATE, CELECOXIB","ACETAMINOPHEN",9.16,"(8.03, 10.43)","1.35e-179",10717
"OMEPRAZOLE, PAMIDRONATE, ACETAMINOPHEN","ACETAMINOPHEN",9.14,"(8.01, 10.41)","6.43e-178",10717
"ACETAMINOPHEN, ZOLPIDEM, CELECOXIB","CELECOXIB",9.09,"(7.87, 10.48)","1.51e-147",2493
"OMEPRAZOLE, PAMIDRONATE, ACETAMINOPHEN","OMEPRAZOLE",9,"(7.88, 10.26)","1.90e-174",6244
"OXYCODONE, ZOLEDRONATE, LEVOFLOXACIN","ZOLEDRONATE",8.99,"(7.88, 10.25)","2.10e-189",4579
"OXYCODONE, WARFARIN, ZOLEDRONATE","WARFARIN",8.89,"(7.78, 10.14)","3.65e-167",4188
"OXYCODONE, ZOLEDRONATE, ZOLPIDEM","OXYCODONE",8.89,"(7.85, 10.05)","3.94e-200",4418
"ROFECOXIB, ACETAMINOPHEN, GABAPENTIN","ROFECOXIB",8.87,"(7.61, 10.31)","5.02e-123",2529
"ACETAMINOPHEN, ZOLEDRONATE, CHLORHEXIDINE","ACETAMINOPHEN",8.76,"(7.73, 9.91)","3.95e-190",10717
"OXYCODONE, ZOLEDRONATE, GABAPENTIN","GABAPENTIN",8.75,"(7.8, 9.81)","1.30e-236",4852
"PAMIDRONATE, ACETAMINOPHEN, HYDROCODONE","ACETAMINOPHEN",8.74,"(7.91, 9.66)","1.23e-290",10717
"OXYCODONE, FENTANYL, HYDROCODONE","FENTANYL",8.69,"(7.67, 9.82)","8.80e-189",2767
"AMOXICILLIN, ACETAMINOPHEN, ZOLEDRONATE","AMOXICILLIN",8.68,"(7.57, 9.95)","3.56e-164",1746
"ACETAMINOPHEN, WARFARIN, ZOLEDRONATE","WARFARIN",8.68,"(7.7, 9.77)","7.29e-202",4188
"ZOLEDRONATE, DEXAMETHASONE, DOXORUBICIN","DEXAMETHASONE",8.68,"(7.44, 10.09)","2.40e-123",2534
"OXYCODONE, ZOLEDRONATE, LEVOFLOXACIN","LEVOFLOXACIN",8.63,"(7.54, 9.87)","1.13e-179",2880
"OXYCODONE, ZOLPIDEM, DEXAMETHASONE","DEXAMETHASONE",8.61,"(7.44, 9.94)","6.00e-135",2534
"ZOLEDRONATE, ZOLPIDEM, HYDROCODONE","ZOLPIDEM",8.59,"(7.49, 9.84)","1.25e-159",3296
"OXYCODONE, ZOLEDRONATE, FUROSEMIDE","OXYCODONE",8.52,"(7.56, 9.6)","1.04e-205",4418
"ZOLEDRONATE, DEXAMETHASONE, GABAPENTIN","GABAPENTIN",8.52,"(7.49, 9.68)","1.53e-184",4852
"PROCHLORPERAZINE, ACETAMINOPHEN, ZOLEDRONATE","ACETAMINOPHEN",8.52,"(7.51, 9.65)","4.62e-183",10717
"OMEPRAZOLE, PAMIDRONATE, ZOLEDRONATE","OMEPRAZOLE",8.51,"(7.51, 9.64)","1.25e-185",6244
"PAMIDRONATE, PREDNISONE, ACETAMINOPHEN","PREDNISONE",8.47,"(7.34, 9.75)","7.45e-140",4984
"PREDNISONE, ZOLEDRONATE, HYDROCODONE","PREDNISONE",8.47,"(7.33, 9.76)","4.80e-136",4984
"LORAZEPAM, ACETAMINOPHEN, ZOLEDRONATE","LORAZEPAM",8.45,"(7.51, 9.5)","6.66e-211",3224
"PAMIDRONATE, ZOLEDRONATE, EPOETIN ALFA","EPOETIN ALFA",8.45,"(7.28, 9.8)","1.03e-144",1355
"PROCHLORPERAZINE, ACETAMINOPHEN, FENTANYL","FENTANYL",8.45,"(7.26, 9.81)","7.16e-123",2767
"MORPHINE, OXYCODONE, DEXAMETHASONE","DEXAMETHASONE",8.45,"(7.32, 9.72)","6.74e-138",2534
"LORAZEPAM, OXYCODONE, ZOLEDRONATE","LORAZEPAM",8.4,"(7.4, 9.51)","5.00e-185",3224
"ONDANSETRON, ZOLEDRONATE, DEXAMETHASONE","ONDANSETRON",8.25,"(7.06, 9.61)","2.89e-120",1350
"ACETAMINOPHEN, GABAPENTIN, LEVOFLOXACIN","ACETAMINOPHEN",8.24,"(7.17, 9.44)","3.05e-147",10717
"ONDANSETRON, ZOLEDRONATE, DEXAMETHASONE","DEXAMETHASONE",8.22,"(7.08, 9.52)","1.57e-124",2534
"OMEPRAZOLE, ACETAMINOPHEN, ZOLEDRONATE","ACETAMINOPHEN",8.21,"(7.38, 9.11)","5.66e-248",10717
"MORPHINE, OXYCODONE, GABAPENTIN","MORPHINE",8.2,"(7.2, 9.33)","5.12e-169",2024
"ACETAMINOPHEN, CHLORHEXIDINE, HYDROCODONE","ACETAMINOPHEN",8.18,"(7.13, 9.37)","1.91e-148",10717
"LORAZEPAM, ACETAMINOPHEN, ZOLEDRONATE","ACETAMINOPHEN",8.18,"(7.29, 9.15)","1.41e-213",10717
"WARFARIN, ZOLEDRONATE, DEXAMETHASONE","WARFARIN",8.17,"(7.21, 9.25)","2.05e-176",4188
"OMEPRAZOLE, ACETAMINOPHEN, ZOLEDRONATE","OMEPRAZOLE",8.17,"(7.34, 9.08)","7.27e-244",6244
"LORAZEPAM, DEXAMETHASONE, HYDROCODONE","DEXAMETHASONE",8.14,"(6.99, 9.46)","6.90e-117",2534
"PAMIDRONATE, ACETAMINOPHEN, ZOLEDRONATE","ACETAMINOPHEN",8.12,"(7.44, 8.86)","0.00e+00",10717
"ACETAMINOPHEN, ZOLEDRONATE, ZOLPIDEM","ZOLPIDEM",8.12,"(7.21, 9.13)","5.63e-203",3296
"PROCHLORPERAZINE, ZOLEDRONATE, DEXAMETHASONE","PROCHLORPERAZINE",8.11,"(6.92, 9.48)","3.92e-125",1033
"PAMIDRONATE, ZOLEDRONATE, GABAPENTIN","GABAPENTIN",8.09,"(7.19, 9.1)","3.47e-210",4852
"OXYCODONE, PAMIDRONATE, HYDROCODONE","OXYCODONE",8.09,"(7.06, 9.24)","7.12e-156",4418
"ACETAMINOPHEN, DOCETAXEL, HYDROCODONE","DOCETAXEL",8.08,"(6.76, 9.63)","7.07e-92",848
"ACETAMINOPHEN, ZOLEDRONATE, GABAPENTIN","GABAPENTIN",8.08,"(7.22, 9.04)","9.23e-231",4852
"ACETAMINOPHEN, ZOLEDRONATE, ESOMEPRAZOLE","ESOMEPRAZOLE",8.07,"(7.04, 9.24)","1.29e-146",4163
"LORAZEPAM, ZOLEDRONATE, DEXAMETHASONE","LORAZEPAM",8.06,"(7.06, 9.18)","2.09e-162",3224
"MORPHINE, OXYCODONE, ZOLEDRONATE","OXYCODONE",8.04,"(7.11, 9.07)","2.50e-189",4418
"METOCLOPRAMIDE, ACETAMINOPHEN, ZOLPIDEM","METOCLOPRAMIDE",8.04,"(6.81, 9.46)","8.48e-99",1439
"OXYCODONE, WARFARIN, DEXAMETHASONE","DEXAMETHASONE",8.04,"(6.89, 9.35)","4.85e-114",2534
"ACETAMINOPHEN, ZOLEDRONATE, ZOLPIDEM","ACETAMINOPHEN",8.02,"(7.15, 8.98)","1.24e-208",10717
"PAMIDRONATE, ACETAMINOPHEN, FENTANYL","ACETAMINOPHEN",8.02,"(7.03, 9.13)","9.99e-159",10717
"OXYCODONE, ZOLEDRONATE, HYDROCODONE","OXYCODONE",7.97,"(7.15, 8.88)","1.26e-236",4418
"OXYCODONE, PANTOPRAZOLE, ZOLEDRONATE","PANTOPRAZOLE",7.96,"(6.95, 9.11)","4.26e-151",3314
"ACETAMINOPHEN, ZOLEDRONATE, FUROSEMIDE","FUROSEMIDE",7.94,"(7.09, 8.88)","2.31e-210",6619
"AMOXICILLIN, ACETAMINOPHEN, DEXAMETHASONE","DEXAMETHASONE",7.93,"(6.78, 9.26)","4.19e-108",2534
"OXYCODONE, PAMIDRONATE, DEXAMETHASONE","OXYCODONE",7.93,"(6.98, 8.99)","3.71e-171",4418
"OXYCODONE, ZOLEDRONATE, GABAPENTIN","ZOLEDRONATE",7.92,"(7.05, 8.88)","4.34e-218",4579
"OMEPRAZOLE, OXYCODONE, DEXAMETHASONE","DEXAMETHASONE",7.9,"(6.89, 9.03)","5.12e-144",2534
"ACETAMINOPHEN, ZOLEDRONATE, LEVOFLOXACIN","ZOLEDRONATE",7.89,"(6.97, 8.92)","1.14e-189",4579
"OXYCODONE, PAMIDRONATE, ACETAMINOPHEN","ACETAMINOPHEN",7.89,"(7.12, 8.73)","7.12e-255",10717
"OXYCODONE, ROFECOXIB, ACETAMINOPHEN","ROFECOXIB",7.85,"(6.82, 9.02)","2.28e-130",2529
"OMEPRAZOLE, OXYCODONE, ZOLEDRONATE","OMEPRAZOLE",7.85,"(6.98, 8.83)","5.05e-194",6244
"PAMIDRONATE, ACETAMINOPHEN, DEXAMETHASONE","ACETAMINOPHEN",7.85,"(7, 8.79)","4.35e-202",10717
"ZOLEDRONATE, ZOLPIDEM, DEXAMETHASONE","ZOLPIDEM",7.85,"(6.81, 9.03)","1.45e-137",3296
"LORAZEPAM, OXYCODONE, ZOLEDRONATE","OXYCODONE",7.8,"(6.88, 8.82)","6.05e-177",4418
"PANTOPRAZOLE, ACETAMINOPHEN, ZOLEDRONATE","PANTOPRAZOLE",7.77,"(6.83, 8.82)","7.93e-164",3314
"ACETAMINOPHEN, ZOLEDRONATE, CIPROFLOXACIN","ACETAMINOPHEN",7.74,"(6.72, 8.89)","4.01e-134",10717
"ZOLEDRONATE, DEXAMETHASONE, FUROSEMIDE","FUROSEMIDE",7.73,"(6.8, 8.78)","1.02e-159",6619
"OXYCODONE, DEXAMETHASONE, FENTANYL","DEXAMETHASONE",7.72,"(6.7, 8.86)","2.37e-131",2534
"ZOLEDRONATE, DEXAMETHASONE, GABAPENTIN","ZOLEDRONATE",7.7,"(6.77, 8.75)","6.15e-170",4579
"OXYCODONE, DEXAMETHASONE, FUROSEMIDE","DEXAMETHASONE",7.68,"(6.67, 8.81)","1.36e-132",2534
"OXYCODONE, PROCHLORPERAZINE, ZOLEDRONATE","OXYCODONE",7.66,"(6.71, 8.73)","1.03e-153",4418
"WARFARIN, ZOLEDRONATE, FUROSEMIDE","WARFARIN",7.64,"(6.59, 8.83)","4.58e-120",4188
"OXYCODONE, PAMIDRONATE, ACETAMINOPHEN","OXYCODONE",7.64,"(6.87, 8.48)","3.98e-241",4418
"ONDANSETRON, ACETAMINOPHEN, GABAPENTIN","ONDANSETRON",7.63,"(6.51, 8.94)","7.91e-106",1350
"MORPHINE, FENTANYL, HYDROCODONE","FENTANYL",7.62,"(6.57, 8.82)","1.35e-117",2767
"ACETAMINOPHEN, ZOLEDRONATE, FENTANYL","ACETAMINOPHEN",7.62,"(6.87, 8.44)","5.14e-241",10717
"ACETAMINOPHEN, ZOLEDRONATE, LEVOFLOXACIN","LEVOFLOXACIN",7.6,"(6.7, 8.62)","1.55e-179",2880
"GADOPENTETATE DIMEGLUMINE, GADOTERIDOL, GADOVERSETAMIDE","GADOTERIDOL",7.58,"(4.53, 13.55)","3.47e-24",347
"OMEPRAZOLE, OXYCODONE, ZOLEDRONATE","OXYCODONE",7.56,"(6.7, 8.5)","5.28e-186",4418
"METOCLOPRAMIDE, ACETAMINOPHEN, HYDROCODONE","METOCLOPRAMIDE",7.53,"(6.62, 8.55)","1.90e-161",1439
"MORPHINE, ACETAMINOPHEN, LEVOFLOXACIN","MORPHINE",7.51,"(6.48, 8.68)","3.10e-121",2024
"MORPHINE, ACETAMINOPHEN, ZOLEDRONATE","ACETAMINOPHEN",7.47,"(6.66, 8.36)","4.06e-193",10717
"ACETAMINOPHEN, ZOLPIDEM, DEXAMETHASONE","DEXAMETHASONE",7.46,"(6.5, 8.54)","3.76e-134",2534
"METOCLOPRAMIDE, ACETAMINOPHEN, ESOMEPRAZOLE","METOCLOPRAMIDE",7.45,"(6.36, 8.71)","4.63e-101",1439
"OXYCODONE, ACETAMINOPHEN, EPOETIN ALFA","ACETAMINOPHEN",7.42,"(6.47, 8.5)","4.27e-135",10717
"ACETAMINOPHEN, ZOLEDRONATE, FUROSEMIDE","ACETAMINOPHEN",7.42,"(6.63, 8.29)","3.02e-201",10717
"PANTOPRAZOLE, ACETAMINOPHEN, ZOLEDRONATE","ACETAMINOPHEN",7.42,"(6.55, 8.39)","1.32e-162",10717
"AMOXICILLIN, ACETAMINOPHEN, ZOLEDRONATE","ACETAMINOPHEN",7.37,"(6.48, 8.36)","1.43e-154",10717
"ZOLEDRONATE, DEXAMETHASONE, DOCETAXEL","DOCETAXEL",7.34,"(6.14, 8.73)","3.05e-85",848
"MORPHINE, FUROSEMIDE, GABAPENTIN","MORPHINE",7.33,"(6.26, 8.55)","1.63e-104",2024
"PAMIDRONATE, ZOLEDRONATE, GABAPENTIN","ZOLEDRONATE",7.32,"(6.5, 8.23)","4.38e-193",4579
"MORPHINE, OXYCODONE, DEXAMETHASONE","MORPHINE",7.31,"(6.32, 8.44)","8.58e-122",2024
"ACETAMINOPHEN, ZOLEDRONATE, GABAPENTIN","ZOLEDRONATE",7.31,"(6.53, 8.18)","5.95e-212",4579
"PAMIDRONATE, ZOLEDRONATE, ZOLPIDEM","ZOLEDRONATE",7.31,"(6.42, 8.31)","1.38e-161",4579
"OXYCODONE, DEXAMETHASONE, FENTANYL","FENTANYL",7.3,"(6.35, 8.38)","3.57e-126",2767
"PREDNISONE, ZOLEDRONATE, DEXAMETHASONE","DEXAMETHASONE",7.27,"(6.29, 8.38)","5.81e-118",2534
"OXYCODONE, WARFARIN, GABAPENTIN","WARFARIN",7.23,"(6.25, 8.35)","4.19e-115",4188
"OXYCODONE, ACETAMINOPHEN, ZOLEDRONATE","OXYCODONE",7.2,"(6.62, 7.84)","0.00e+00",4418
"OXYCODONE, PANTOPRAZOLE, ZOLEDRONATE","OXYCODONE",7.19,"(6.29, 8.21)","1.50e-140",4418
"OXYCODONE, PAMIDRONATE, ZOLEDRONATE","OXYCODONE",7.17,"(6.48, 7.92)","1.48e-247",4418
"ZOLEDRONATE, FUROSEMIDE, HYDROCODONE","HYDROCODONE",7.15,"(6.24, 8.19)","1.41e-139",4590
"OXYCODONE, PREDNISONE, ZOLEDRONATE","PREDNISONE",7.13,"(6.25, 8.11)","1.11e-139",4984
"OXYCODONE, PANTOPRAZOLE, DEXAMETHASONE","DEXAMETHASONE",7.12,"(6.07, 8.34)","2.38e-94",2534
"PAMIDRONATE, ACETAMINOPHEN, HYDROCODONE","HYDROCODONE",7.12,"(6.42, 7.89)","1.88e-239",4590
"OXYCODONE, DEXAMETHASONE, GABAPENTIN","OXYCODONE",7.11,"(6.24, 8.09)","2.09e-147",4418
"POTASSIUM CHLORIDE, ZOLEDRONATE, FUROSEMIDE","FUROSEMIDE",7.1,"(6.17, 8.14)","5.06e-125",6619
"OXYCODONE, ACETAMINOPHEN, ZOLEDRONATE","ACETAMINOPHEN",7.1,"(6.55, 7.68)","0.00e+00",10717
"PAMIDRONATE, THALIDOMIDE, DEXAMETHASONE","DEXAMETHASONE",7.1,"(6.07, 8.27)","7.38e-100",2534
"OXYCODONE, POTASSIUM CHLORIDE, GABAPENTIN","POTASSIUM CHLORIDE",7.09,"(6.11, 8.19)","1.06e-116",2515
"OXYCODONE, FUROSEMIDE, HYDROCODONE","FUROSEMIDE",7.08,"(6.29, 7.96)","5.67e-172",6619
"OXYCODONE, ZOLEDRONATE, FENTANYL","OXYCODONE",7.08,"(6.3, 7.95)","6.14e-182",4418
"OMEPRAZOLE, ZOLEDRONATE, DEXAMETHASONE","OMEPRAZOLE",7.08,"(6.24, 8.02)","5.62e-154",6244
"ACETAMINOPHEN, CIPROFLOXACIN, LEVOFLOXACIN","ACETAMINOPHEN",7.06,"(6.15, 8.08)","6.94e-128",10717
"FENTANYL, FUROSEMIDE, HYDROCODONE","FENTANYL",7.05,"(6.08, 8.15)","6.83e-110",2767
"ACETAMINOPHEN, ZOLEDRONATE, ALPRAZOLAM","ACETAMINOPHEN",7.03,"(6.11, 8.08)","9.35e-122",10717
"ACETAMINOPHEN, ZOLPIDEM, CELECOXIB","ACETAMINOPHEN",7.02,"(6.11, 8.05)","6.62e-125",10717
"PAMIDRONATE, PREDNISONE, ACETAMINOPHEN","ACETAMINOPHEN",7,"(6.08, 8.04)","8.76e-122",10717
"ACETAMINOPHEN, FLUCONAZOLE, LEVOFLOXACIN","FLUCONAZOLE",6.98,"(5.92, 8.2)","4.44e-95",1154
"ONDANSETRON, ACETAMINOPHEN, ZOLEDRONATE","ACETAMINOPHEN",6.97,"(6.1, 7.95)","5.16e-135",10717
"MORPHINE, FENTANYL, HYDROCODONE","MORPHINE",6.95,"(5.98, 8.06)","1.55e-107",2024
"OXYCODONE, ACETAMINOPHEN, EPOETIN ALFA","OXYCODONE",6.94,"(6.04, 7.97)","6.30e-126",4418
"ACETAMINOPHEN, WARFARIN, ZOLEDRONATE","ACETAMINOPHEN",6.93,"(6.16, 7.78)","7.24e-173",10717
"OXYCODONE, CYCLOBENZAPRINE, GABAPENTIN","OXYCODONE",6.88,"(5.96, 7.93)","1.25e-117",4418
"ACETAMINOPHEN, ZOLPIDEM, CELECOXIB","ZOLPIDEM",6.86,"(5.95, 7.9)","1.36e-119",3296
"ZOLEDRONATE, ZOLPIDEM, HYDROCODONE","HYDROCODONE",6.86,"(5.99, 7.85)","1.21e-134",4590
"MORPHINE, DEXAMETHASONE, FENTANYL","DEXAMETHASONE",6.86,"(5.85, 8)","1.05e-93",2534
"ACETAMINOPHEN, DIAZEPAM, ALPRAZOLAM","ACETAMINOPHEN",6.83,"(5.91, 7.87)","1.93e-113",10717
"OXYCODONE, FENTANYL, GABAPENTIN","FENTANYL",6.82,"(6, 7.73)","5.80e-143",2767
"PAMIDRONATE, ZOLEDRONATE, HYDROCODONE","HYDROCODONE",6.8,"(6.08, 7.6)","4.11e-194",4590
